Attraction,Category,Subclass,Address,Tag,Participants,etc,cafe,max,type
덕수궁 돌담길,관광,도보코스,서울특별시 중구 세종대로19길 24 영국대사관,#2024_여행가는달과함께하는_발도장여행지#가족과함께#걷기길#걷기여행#걷기좋은곳#고궁#관광지#덕수궁#덕수궁돌담길#데이트장소추천#산책하기좋은곳#서울데이트장소#수도권#야간관광100선#연중무휴#열린광광지#체험#친구와함께#커플데이트,22,0,0,2,chinese
망원시장,관광,시장,서울특별시 마포구 포은로6길 27 1층,#2024_여행가는달과함께하는_발도장여행지#가족여행#나들이#나홀로여행#데이트코스#망원시장#먹거리#쇼핑#수도권#시장맛집#아이와함께#연인과함께#전통시장#전통시장투어#체험학습#친구와함께#힐링,118,0,1,1,cafe
여의도한강공원,관광,시민공원,서울특별시 영등포구 여의동로 330 한강사업본부 여의도안내센터,#2019년4월_Tmap추천_여행예보#2024_여행가는달과함께하는_발도장여행지#걷기길#공원#관광지#나들이#데이트코스#도심여행#산책#야경투어#여의도한강공원#연인과함께#자전거여행#조깅#친구와함께#피크닉#한강공원#한강시민공원여의도지구,266,0,0,5,korean
남산골한옥마을,관광,"문화,유적",서울특별시 중구 퇴계로34길 28 남산골한옥마을,#2024_여행가는달과함께하는_발도장여행지#가족여행#관광지#남녀노소#남산골한옥마을#도심여행#수도권#아이와함께#연인과함께#이색체험#전통여행#전통한복#체험#체험프로그램#체험학습#친구와함께,331,0,4,4,cafe
경의선숲길,관광,"거리,골목",서울특별시 마포구 연남동,#경의선숲길#데이트명소#데이트코스#도심산책#레포츠#마포구#산책코스#연남동#연트럴파크#주말여행#홍대가볼만한곳,53,0,1,1,cafe
서울공예박물관,관광,박물관,서울특별시 종로구 율곡로3길 4,#2024_여행가는달과함께하는_발도장여행지#가볼래터#공예#공예자료#공예체험#공예품#남녀노소#문화공간#문화시설#민속공예품#아이와함께#여행구독#전통공예품,220,0,0,1,korean
AK PLAZA 홍대,관광,백화점,서울특별시 마포구 양화로 188,#2024_여행가는달과함께하는_발도장여행지#AK&홍대#쇼핑#홍대쇼핑몰,756,0,0,3,korean
서대문형무소역사관,관광,박물관,서울특별시 서대문구 통일로 251 서대문형무소역사관,#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선#3·1운동#3·1운동_100주년_여행지추천#가족과함께#교과서속여행#독립운동#문화시설#미세먼지_피하는_실내여행#박물관#서대문형무소역사관#수도권#실내관광지#실내여행지#아이와함께#연인과함께#전시관#전통&역사문화체험#체험학습#친구와함께#항일민족독립운동,"1,611",0,0,4,korean
광장시장,관광,시장,서울특별시 종로구 창경궁로 88,#가족여행#광장시장#나들이#나홀로여행#데이트코스#도심여행#먹거리#쇼핑#수도권#시장맛집#아이와함께#야간관광100선#연인과함께#전통시장#전통시장투어#친구와함께,18,0,0,1,korean
반포대교 달빛무지개분수,관광,지역명소,서울특별시 서초구 반포동 649-1,#2024_여행가는달과함께하는_발도장여행지#감성사진#경치좋은곳#관광지#데이트코스#반포대교#반포대교달빛무지개분수#사진찍기좋은곳#서울가볼맛한곳#서울투어#야경투어#연인과함께#친구와함께,54,0,1,1,cafe
세빛섬,관광,섬,서울특별시 서초구 올림픽대로 2085-14 세빛섬,#2024_여행가는달과함께하는_발도장여행지#가족과함께#걷기길#경치좋은곳#관광지#나들이#데이트코스#도심여행#서울투어#세빛둥둥섬#세빛섬#수도권#야간관광100선#야경여행지#야경투어#연인과함께#영화&드라마촬영지#친구와함께#피크닉#한강#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,43,0,0,3,west
북악팔각정,관광,"도시,테마공원",서울특별시 성북구 북악산로 267 북악팔각정,#2024_여행가는달과함께하는_발도장여행지#걷기길#관광지#도심여행#북악스카이#북악스카이팔각정#서울야경#서울전경#수도권#야간관광100선#전망대#팔각정,"2,718",0,0,1,korean
월드컵공원,관광,테마공원,서울특별시 마포구 하늘공원로 86,#2024_여행가는달과함께하는_발도장여행지#가족여행#관광지#산책하기#산책하기좋은곳#수도권#아이와함께#연인과함께#월드컵공원#피크닉#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,457,0,3,3,cafe
올림픽공원,관광,"도시,테마공원",서울특별시 송파구 올림픽로 424,#2024_여행가는달과함께하는_발도장여행지#88올림픽공원#sk핸드볼경기장#가족여행#걷기여행#관광지#나들이#나홀로여행#당일치기여행#데이트코스#도심여행#몽촌토성#사계절#서울근교여행#송파구공원#아이와함께#연인과함께#올림픽공원#잠실공원#조깅#친구와함께#피크닉,859,0,5,9,korean
