,관광지명,주소,리뷰참여인원,관광지분류명
156,해담채 남부터미널점,서울특별시 서초구 서초중앙로5길 10-8 쁘띠오피스텔 지하 1층,417명 참여,해담채
157,감꽃당,서울특별시 종로구 돈화문로11다길 38,"2,192명 참여",베이커리
158,골든블루마리나,서울특별시 서초구 올림픽대로 2085-14 세빛섬 골든블루마리나,780명 참여,요트
159,국화정원,서울특별시 성북구 성북로 154,157명 참여,한정식-일반
160,뽐모도로,서울특별시 종로구 새문안로9길 19-1 일선빌딩 1층,793명 참여,이탈리아음식
161,영풍문고 스타필드코엑스몰점,서울특별시 강남구 영동대로 513 코엑스몰 B1 J101A,"5,021명 참여",서점
162,트레스드,서울특별시 송파구 백제고분로15길 50 1층,672명 참여,"카페,디저트"
163,수유동가문,서울특별시 강북구 노해로 13 가문,166명 참여,중식당
164,북한산 큰숲 제빵소,서울특별시 은평구 북한산로 271-3 북한산큰숲제빵소,183명 참여,베이커리
165,리치다이아몬드호텔,서울특별시 강북구 삼양로 500-18,59명 참여,2성급
166,송화벽화시장,서울특별시 강서구 강서로 263-29,61명 참여,시장
167,다래함박스텍,서울특별시 강북구 수유로 20-2,"1,319명 참여",돈가스
168,카카오프렌즈 홍대 플래그십 스토어,서울특별시 마포구 양화로 162 좋은사람들빌딩 1~3층,"2,763명 참여","문구,팬시용품"
169,아트박스 (영등포점),서울특별시 영등포구 영중로 15 타임스퀘어 지하1층,"1,135명 참여","문구,팬시용품"
170,뱃고동,서울특별시 강남구 언주로172길 54,"2,051명 참여",낙지요리
171,호텔PJ,서울특별시 중구 마른내로 71 호텔피제이,171명 참여,4성급
172,한강파라다이스,서울특별시 영등포구 여의동로 252 파라다이스,216명 참여,이탈리아음식
173,미가할매집,서울특별시 관악구 신림로 374,711명 참여,"육류,고기요리"
174,동서울 관광호텔,서울특별시 광진구 구의강변로 38,29명 참여,2성급
175,구로시장,서울특별시 구로구 구로동로22길 17-4 2층,29명 참여,시장
176,프레지던트 호텔,서울특별시 중구 을지로 16 프레지던트호텔,249명 참여,4성급
177,난지천공원,서울특별시 마포구 월드컵로 365,162명 참여,"도시,테마공원"
178,파르나스몰,서울특별시 강남구 테헤란로 521 그랜드인터콘티넨탈호텔 B1,73명 참여,백화점
179,중곡제일시장,서울특별시 광진구 중곡동 265-5,39명 참여,시장
180,롯데호텔 L7 강남,서울특별시 강남구 테헤란로 415,164명 참여,4성급
181,더벨스파 동대문현대시티아울렛점,서울특별시 중구 장충단로13길 20 현대시티아울렛 지하1층,118명 참여,"피부,체형관리"
182,서울서둘째로잘하는집,서울특별시 종로구 삼청로 122-1,"1,465명 참여",차
184,자인뭉티기,서울특별시 서초구 강남대로37길 24-7 호원빌딩,270명 참여,소고기구이
185,양반댁,서울특별시 종로구 인사동길 19-18 양반댁,290명 참여,한정식-일반
186,비단길 현대시장,서울특별시 금천구 독산로27길 52,177명 참여,시장
187,엔터식스 왕십리역점,서울특별시 성동구 왕십리광장로 17,"2,947명 참여","상가,아케이드"
188,아이유푸드,서울특별시 금천구 범안로21길 14,21명 참여,정육점
189,미자식당,서울특별시 동작구 노들로 674 노량진수산물도매시장 2층 8호,215명 참여,"해물,생선요리"
190,곰달래꿈마을,서울특별시 양천구 곰달래로 36,23명 참여,"카페,디저트"
191,평안도만두집,서울특별시 종로구 새문안로3길 30 도렴구역 제18지구,456명 참여,한식
192,지화자,서울특별시 종로구 자하문로 125,94명 참여,한정식-일반
193,인사동그집,서울특별시 종로구 인사동12길 3 인사동그집,594명 참여,한식
194,라칸티나,서울특별시 중구 을지로 19 삼성빌딩 지하1층,589명 참여,이탈리아음식
195,행복한백화점,서울특별시 양천구 목동동로 309 중소기업유통센터,"1,858명 참여",백화점
196,호텔 더 디자이너스 청량리 Hotel the designers,서울특별시 동대문구 왕산로 226,77명 참여,2성급
197,동적불고기깡통구이 쌍문 본점,서울특별시 도봉구 도봉로109길 30,"3,438명 참여","육류,고기요리"
198,어양,서울특별시 송파구 위례성대로 14 지하 1층,119명 참여,중식당
199,서래본갈비,서울특별시 서초구 사평대로 126,295명 참여,"육류,고기요리"
200,센트럴관광호텔,경기도 안양시 동안구 흥안대로 513,25명 참여,1성급
201,나이아가라호텔,서울특별시 강서구 양천로 743,17명 참여,3성급
202,단미그린비,서울특별시 강남구 밤고개로14길 13-50,232명 참여,한식
203,갯마을,서울특별시 종로구 세종대로21길 75,194명 참여,낙지요리
204,그리츠(GREETS) 글래드호텔 여의도,서울특별시 영등포구 의사당대로 16 로비층,"2,372명 참여",뷔페
205,아승지,서울특별시 영등포구 신길로 176,111명 참여,사찰음식
206,광장싸롱,서울특별시 종로구 동호로 403-3 (종로5가) 1.2층,310명 참여,한방카페
207,태림산채정식,서울특별시 도봉구 노해로60길 32 1층,439명 참여,한식
208,문래근린공원,서울특별시 영등포구 문래동3가 61,15명 참여,근린공원
209,을지로 원형들,서울특별시 중구 창경궁로1길 38 4층,396명 참여,"카페,디저트"
210,산도토리임자탕,서울특별시 도봉구 덕릉로60길 13,"1,335명 참여",한식
211,향림,서울특별시 노원구 한글비석로 127 마린스포츠센터 2층,258명 참여,중식당
212,금용문,서울특별시 종로구 새문안로5가길 7 세종클럽 2층,245명 참여,중식당
213,깃대봉냉면,서울특별시 중구 청계천로 400 베네치아메가몰 2층 2038호,"1,159명 참여",냉면
214,순희네빈대떡,서울특별시 종로구 종로32길 5,"4,101명 참여","전,빈대떡"
215,메세나폴리스 몰,서울특별시 마포구 양화로 45 메세나폴리스,114명 참여,"상가,아케이드"
216,곰국시집 명동,서울특별시 중구 무교로 24 2층,498명 참여,국수
217,메리어트 이그제큐티브 아파트먼트 서울 여의도,서울특별시 영등포구 여의대로 8,53명 참여,5성급
218,만강 수서점,서울특별시 강남구 밤고개로21길 81,115명 참여,한식
219,해담채 서여의도점,서울특별시 영등포구 은행로 30 중소기업중앙회 1층,337명 참여,해담채
220,다락정,서울특별시 종로구 삼청로 131-1,282명 참여,"칼국수,만두"
221,백원,서울특별시 영등포구 여의공원로 101 CCMM빌딩 12F,44명 참여,중식당
222,호텔 삼정,서울특별시 강남구 봉은사로 150,102명 참여,4성급
