관광지명,주소,리뷰참여인원,관광지분류명
용문집,서울특별시 성동구 마장로39가길 32 1층 용문집,142명 참여,소고기구이
[백년가게]부산복집,서울특별시 중구 수표로2길 25,290명 참여,복어요리
그릭조이,서울특별시 마포구 성지1길 6 2층,92명 참여,그리스음식
바바인디아 강남역점,서울특별시 서초구 강남대로 359 도씨에빛 2차,319명 참여,인도음식
서울리즘,서울특별시 송파구 백제고분로 435 예스빌딩 6층,306명 참여,바(BAR)
홍능갈비집본점,서울특별시 동대문구 제기로 85,402명 참여,"육류,고기요리"
곰국시집,서울특별시 중구 무교로 24 2층,498명 참여,국수
까델루뽀,서울특별시 종로구 자하문로16길 5-5,238명 참여,이탈리아음식
이강순실비집,서울특별시 종로구 청계천로 75-1 본점이강순실비집,277명 참여,낙지요리
영등포복집,서울특별시 영등포구 영등포로42길 10-1 영등포복집,209명 참여,복어요리
상인정신,서울특별시 종로구 새문안로5길 11-1 2층,128명 참여,요리주점
늘푸른식당,서울특별시 마포구 굴레방로9길 3 1층 늘푸른식당,121명 참여,요리주점
홍원,서울특별시 마포구 백범로 23 거구장예식장,77명 참여,중식당
더 킹스,서울특별시 중구 동호로 287 앰배서더 서울 풀만 호텔 1층,555명 참여,뷔페
해안반점,서울특별시 강동구 고덕로10길 48 1층해안반점,219명 참여,중식당
로리스 더 프라임 립,서울특별시 서초구 서초대로 411 GT TOWER 3층,993명 참여,"스테이크,립"
백제삼계탕,서울특별시 중구 명동8길 8-10,189명 참여,"백숙,삼계탕"
라 쿠치나,서울특별시 용산구 회나무로44길 10,147명 참여,이탈리아음식
삼수갑산,"서울특별시 관악구 남현1길 38-9 1층,2층,3층",68명 참여,"육류,고기요리"
스시겐,서울특별시 마포구 양화로7길 6-12 삼이빌딩,77명 참여,"초밥,롤"
하모,서울특별시 강남구 언주로 819 2층 하모,244명 참여,한식
장군갈비,서울특별시 광진구 용마산로 11,520명 참여,"육류,고기요리"
평래옥,서울특별시 중구 마른내로 21-1,"1,118명 참여",한식
장군보쌈,서울특별시 중구 무교로 16,638명 참여,"족발,보쌈"
궁나라냉면묵밥,서울특별시 종로구 지봉로12길 6 등원빌딩,144명 참여,냉면
모녀마약김밥,서울특별시 종로구 동호로 403-23,"5,106명 참여",김밥
현대카드 Vinyl & Plastic,서울특별시 용산구 이태원로 248,266명 참여,"음반,CD"
갤러리카페 3안,서울특별시 종로구 북촌로 137-7,27명 참여,갤러리카페
장수촌 풍천장어,서울특별시 관악구 남부순환로 2082-37 2층,268명 참여,"장어,먹장어요리"
터치더스카이,서울특별시 영등포구 63로 50 한화금융센터_63,255명 참여,양식
성북동 구포국수,서울특별시 성북구 성북로12길 2,445명 참여,국수
잇텐고,서울특별시 마포구 포은로 11 103호,780명 참여,일본식라면
호텔 더 디자이너스 종로점,서울특별시 종로구 수표로 89-8,68명 참여,3급
암사종합시장,서울특별시 강동구 상암로11길 25,35명 참여,시장
감나무집기사식당,서울특별시 마포구 연남로 25,"1,972명 참여",기사식당
안동국시소람,서울특별시 종로구 인사동9길 16 백악미술관 지하1층,204명 참여,국수
명문막국수,서울특별시 성북구 창경궁로 319,559명 참여,막국수
딜라이트 호텔 (HOTEL DELIGHT),서울특별시 송파구 오금로11길 21-9 딜라이트 호텔,223명 참여,2성급
슈치쿠,서울특별시 영등포구 63로 50 58층,253명 참여,일식당
청수횟집,서울특별시 강남구 테헤란로25길 9,167명 참여,생선회
강서면옥,서울특별시 강남구 언주로164길 19 강서면옥,364명 참여,냉면
진남회집,서울특별시 동작구 노들로 674 노량진수산시장 2층 13호,181명 참여,생선회
커피친구,서울특별시 종로구 삼봉로 81 두산위브파빌리온,149명 참여,카페
키다리아저씨,서울특별시 마포구 성미산로 22,325명 참여,베이커리
이화감자국,서울특별시 은평구 응암로 174-1 1층,223명 참여,감자탕
눈스퀘어,서울특별시 중구 명동길 14 Noon Square,69명 참여,"상가,아케이드"
상락원,서울특별시 서초구 원터길 23,47명 참여,한식
더플레이스다이닝,서울특별시 용산구 남산공원길 105 N서울타워 T2층 (택시/일반차량 진입불가),359명 참여,이탈리아음식
비노인빌라,서울특별시 서초구 남부순환로319길 14 제이큐브데이터빌딩1층,154명 참여,이탈리아음식
강남목장,서울특별시 강남구 논현로86길 34 역삼포커스빌딩,196명 참여,소고기구이
학림다방,서울특별시 종로구 대학로 119 2층 학림카페,"1,508명 참여",카페
마지,서울특별시 종로구 자하문로5길 19,199명 참여,사찰음식
BK볏짚 우대갈비 장안동본점,서울특별시 동대문구 장한로26가길 29 1층 BK볏짚 우대갈비 장안동본점,526명 참여,"육류,고기요리"
풍류사랑,서울특별시 종로구 인사동8길 12-7,10명 참여,한식
부빙,서울특별시 종로구 창의문로 136 부빙,525명 참여,빙수
오르시아,서울특별시 강남구 영동대로 644 원일빌딩 1층 오르시아,990명 참여,결혼예물
장프리고,서울특별시 중구 퇴계로62길 9-8,123명 참여,바(BAR)
우이시장,서울특별시 강북구 수유동 270-103,63명 참여,시장
메이징에이,서울특별시 중구 세종대로 136 SFC몰 B2층,421명 참여,중식당
다이브라이프,서울특별시 서초구 반포대로20길 27 서궁빌딩 지하1층,68명 참여,스킨스쿠버
해품장팔팔장어,서울특별시 강남구 도곡로 218 CN시티 1층,401명 참여,"장어,먹장어요리"
은주정,서울특별시 중구 창경궁로8길 32,"1,317명 참여","찌개,전골"
외양간,서울특별시 동작구 동작대로11길 16 1층,394명 참여,"육류,고기요리"
레이지파머스,서울특별시 용산구 회나무로35길 5 A동 레이지파머스,542명 참여,양식
아이해브어드림,서울특별시 강남구 테헤란로5길 7 KG Tower 지하1층 아이해브어드림,410명 참여,요리주점
가락관광호텔,서울특별시 송파구 송파대로28길 5 가락관광호텔,83명 참여,2성급
레인보우호텔,서울특별시 용산구 한강대로71길 48 레인보우호텔,41명 참여,모텔
롯데호텔서울 설화수 스파,서울특별시 중구 을지로 30 롯데호텔 본관 7층,28명 참여,"피부,체형관리"
모모야마,서울특별시 중구 을지로 30,228명 참여,일식당
코리아하우스,서울특별시 강남구 압구정로79길 56 아름다운빌딩 1~2층,31명 참여,"육류,고기요리"
한쿡 N서울타워,서울특별시 용산구 남산공원길 105 N서울타워 한쿡(전망대 T3층),338명 참여,한식
더 우리곱창,서울특별시 종로구 종로36나길 9,525명 참여,"곱창,막창,양"
헤이더그린,서울특별시 강서구 대장로 58,924명 참여,"카페,디저트"
칠형제우리감자탕,서울특별시 노원구 동일로 1019 원광약국,268명 참여,감자탕
오라이등심,서울특별시 종로구 종로32길 23-5,222명 참여,돼지고기구이
동경,서울특별시 강남구 봉은사로 524 코엑스몰 지하1층 J108,"1,051명 참여",돈가스
황금정원,서울특별시 도봉구 방학로 312 황금정원,"1,443명 참여",쌈밥
늘푸른목장 잠실본점,서울특별시 송파구 백제고분로9길 34 1F,625명 참여,소고기구이
백제추어탕 본점,서울특별시 강동구 양재대로 1406,"1,557명 참여",추어탕
몽중헌 청담점,서울특별시 강남구 도산대로 445 엠빌딩 B1F,451명 참여,중식당
충남식당,서울특별시 동작구 노들로 674,701명 참여,한식
도읍지,서울특별시 동대문구 회기로21길 38-1,504명 참여,한식
만남의광장,서울특별시 용산구 이태원로27가길 18 지하 1층,234명 참여,포장마차
서울원조아구찜,서울특별시 종로구 삼일대로 436-1 1층 서울원조아구찜,160명 참여,"아귀찜,해물찜"
프로퍼커피바2호점,서울특별시 송파구 오금로31가길 20 1층,872명 참여,"카페,디저트"
우정,서울특별시 중구 퇴계로76길 55,"1,648명 참여",떡볶이
제주국수,서울특별시 성동구 성수이로 118,316명 참여,국수
포포인츠 바이 쉐라톤 서울 구로,서울특별시 구로구 디지털로32길 72,333명 참여,4성급
사동면옥,서울특별시 종로구 인사동8길 9,365명 참여,냉면
두에꼬제,서울특별시 용산구 한남대로 60 리첸시아 상가 D동 119호,94명 참여,이탈리아음식
진원조 닭한마리,서울특별시 종로구 종로 252-11 1.2.3층 전체,548명 참여,닭요리
호남집,서울특별시 종로구 종로40가길 5,557명 참여,생선구이
대풍간장게장생선구이,서울특별시 서초구 신반포로47길 72 우리빌 1층,69명 참여,생선구이
태조대림감자국,서울특별시 은평구 응암로 172,442명 참여,감자탕
산띠,서울특별시 마포구 와우산로27길 70,169명 참여,인도음식
옛찻집,서울특별시 종로구 인사동길 47-8 신옛찻집,293명 참여,차
