언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
중번체,광진구,서울특별시,天堂賭場華克山莊 (파라다이스 카지노 워커힐),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332956,레포츠,육상 레포츠,카지노,1713
중번체,종로구,서울특별시,?堊?邀?D?烏?繞餓?野뷸潁썽ㄸ)(諛?臾쇨? 댁???몄?щ???)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1915382,인문(문화/예술/역사),문화시설,박물관,1713
중번체,송파구,서울특별시,松坡渡口公園(石村湖) (송파나루공원(석촌호수),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1535056,인문(문화/예술/역사),휴양관광지,공원,1706
중번체,종로구,서울특별시,腰?얗?꿨낫若?댄??沅?),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332627,인문(문화/예술/역사),역사관광지,고궁,1682
중번체,중구,서울특별시,新羅免稅店(首爾店)(신라면세점(서울점)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=917145,쇼핑,쇼핑,면세점,1656
중번체,영등포구,서울특별시,?餓ｅ빰TIMES SQUARE)(??ㅽ??,https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=814112,쇼핑,쇼핑,전문매장/상가,1625
중번체,중구,서울특별시,Hello APM購物中心(헬로에이피엠 (Hello apm)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1029729,쇼핑,쇼핑,전문매장/상가,1599
중번체,금천구,서울특별시,MARIO?ｈ낵⒳릎恙?(留?由ъ?ㅼ??몃?),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=727947,쇼핑,쇼핑,전문매장/상가,1589
중번체,중구,서울특별시,SPAO(?域?佯?)(ㅽ??(紐???)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1034697,쇼핑,쇼핑,전문매장/상가,1568
중번체,광진구,서울특별시,纛島漢江公園雪?場 (한강공원 뚝섬 눈썰매장),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1178128,레포츠,육상 레포츠,썰매장,1564
중번체,광진구,서울특별시,漢江市民公園纛島地區(纛島漢江公園) (한강시민공원 뚝섬지구(뚝섬한강공원)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1111745,인문(문화/예술/역사),휴양관광지,공원,1563
중번체,중구,서울특별시,明洞射擊場 (명동사격장),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1265139,레포츠,육상 레포츠,사격장,1547
중번체,종로구,서울특별시,?岳??佯(二 援?蹂대Ц怨),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333011,인문(문화/예술/역사),문화시설,대형서점,1514
중번체,종로구,서울특별시,?頭鷹博物館 (부엉이박물관),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333116,인문(문화/예술/역사),문화시설,박물관,1502
중번체,서초구,서울특별시,ㅶ덱轢€у??(諛?ы??媛?怨듭??),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1111644,인문(문화/예술/역사),휴양관광지,공원,1435
중번체,종로구,서울특별시,?塋?ㅵ?⑶ㄸ(援┰怨沅?諛?臾쇨),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333062,인문(문화/예술/역사),문화시설,박물관,1390
중번체,송파구,서울특별시,Charlotte劇場 (샤롯데씨어터),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333120,인문(문화/예술/역사),문화시설,공연장,1387
중번체,서대문구,서울특별시,蜈욕ㄷ????閭룟?꿴ㄸ(??臾명??臾댁???ш),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333111,인문(문화/예술/역사),문화시설,전시관,1386
중번체,중구,서울특별시,新堂洞辣炒年?街 (신당동 떡볶이 골목),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1825767,인문(문화/예술/역사),체험관광지,이색거리,1361
중번체,중구,서울특별시,CAPO擁녕??ⓨ??佯?(CAPO Football Store)[??鰲???蘊よ鈺?/Korea Quality](移댄??蹂ㅽ??援愿? ?吏?몄/Korea Quality]),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2680476,쇼핑,쇼핑,전문매장/상가,1326
중번체,종로구,서울특별시,曹溪寺(首爾) (조계사(首爾)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332589,인문(문화/예술/역사),역사관광지,사찰,1274
중번체,영등포구,서울특별시,SeaLaLa水上樂園 (씨랄라 워터파크),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=719728,자연,자연관광지,자연생태관광지,1238
중번체,용산구,서울특별시,現代I'PARK mall(현대 아이파크몰),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1606211,쇼핑,쇼핑,전문매장/상가,1234
중번체,영등포구,서울특별시,63廣場 (63스퀘어),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332412,인문(문화/예술/역사),건축/조형물,유명건물,1230
중번체,마포구,서울특별시,KAKAO FRIENDS弘大旗艦店(카카오프렌즈 홍대 플래그십 스토어),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2579328,쇼핑,쇼핑,전문매장/상가,1230
중번체,종로구,서울특별시,世宗大王銅像 (세종대왕 동상),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1913111,인문(문화/예술/역사),건축/조형물,동상,1152
중번체,종로구,서울특별시,三?洞麵??(삼청동수제비),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=398606,음식,음식점,한식,1149
중번체,종로구,서울특별시,仁寺洞 (인사동),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332540,인문(문화/예술/역사),산업관광지,기타,1131
중번체,마포구,서울특별시,首爾世界盃體育場 (서울월드컵경기장),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332962,레포츠,육상 레포츠,경기장,1120
중번체,송파구,서울특별시,首爾Kidzania (키자니아 서울),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1221206,인문(문화/예술/역사),산업관광지,기타,1106
중번체,종로구,서울특별시,通仁市場(통인시장),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1610811,쇼핑,쇼핑,상설시장,1083
