시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
성동구,서울특별시,성수동 카페거리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0d4a50c2-61c6-4e14-851c-a3d08c1a84ae,인문(문화/예술/역사),체험관광지,이색거리,3482
종로구,서울특별시,와룡공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6147ef34-79f8-4872-936e-f2305a781f5b,인문(문화/예술/역사),휴양관광지,공원,3455
종로구,서울특별시,광장시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=242c556a-2365-47b9-be5c-ea36d8db3663,쇼핑,쇼핑,상설시장,3308
광진구,서울특별시,아차산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=08631717-270b-4f47-81dc-118de3e709b5,자연,자연관광지,산,3295
종로구,서울특별시,북촌한옥마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=395d0087-0bd2-42a1-a051-49c4c46d8821,인문(문화/예술/역사),역사관광지,민속마을,3287
종로구,서울특별시,충무공 이순신 동상,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ca48e214-f50a-4a1e-8ad4-5123ab55572f,인문(문화/예술/역사),건축/조형물,동상,3212
성동구,서울특별시,섬세이 테라리움,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=74971ddf-f2b1-45a1-bfcd-1d51158f5044,인문(문화/예술/역사),문화시설,전시관,3203
종로구,서울특별시,화운[한국관광 품질인증/Korea Quality],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=efe966e8-7d4e-49ab-8a70-71640566dbb0,숙박,숙박시설,한옥,3179
중구,서울특별시,서울로 7017,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ab1f73a4-9fa2-471c-ac88-5484dcda0246,인문(문화/예술/역사),휴양관광지,공원,3158
도봉구,서울특별시,[서울둘레길 1코스] 수락·불암산코스,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1e10b1de-ddbf-4b25-9166-9adbcb753f0d,레포츠,육상 레포츠,트래킹,3143
서초구,서울특별시,반포대교 달빛무지개분수,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=79ac09d6-364a-4762-b3d0-e7ee835b0063,인문(문화/예술/역사),건축/조형물,분수,3107
광진구,서울특별시,한강시민공원 뚝섬지구(뚝섬한강공원),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=654574cc-fb6b-41da-85ea-ca7e1619cd48,인문(문화/예술/역사),휴양관광지,공원,3073
중구,서울특별시,황학동 벼룩시장 (도깨비시장 / 만물시장),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f155e4f6-aca6-40d5-a5fb-881e2ae2af15,쇼핑,쇼핑,상설시장,3024
송파구,서울특별시,금강산감자탕 방이본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4b4323e8-e14a-4d99-a389-0cc8cb3a0ca1,음식,음식점,한식,2980
종로구,서울특별시,북촌 8경,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=72de6f2f-b808-4354-9e83-c1c59513a327,인문(문화/예술/역사),역사관광지,민속마을,2838
종로구,서울특별시,인왕산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=024b7312-2446-4f35-aed2-23021fd0972f,자연,자연관광지,산,2834
강남구,서울특별시,스타필드 코엑스몰,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1c9a8770-2bbd-4b23-8b87-00ba2388dba4,쇼핑,쇼핑,전문매장/상가,2810
영등포구,서울특별시,여의도한강공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2a242f43-4a4d-4836-a17a-abcb34d0e9bc,인문(문화/예술/역사),휴양관광지,공원,2804
종로구,서울특별시,국립민속박물관&국립민속박물관 어린이박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=dd6568f1-820b-440e-9f10-5d480f29aacd,인문(문화/예술/역사),산업관광지,기타,2794
성북구,서울특별시,북한산 자락길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c8ae3cca-ce47-424f-ba61-37c29b99d936,레포츠,육상 레포츠,트래킹,2722
중구,서울특별시,명동,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6a7ed3b6-0be8-48fd-8786-6ef63e171f35,인문(문화/예술/역사),산업관광지,기타,2648
강남구,서울특별시,별마당도서관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aa797d0c-4fa7-46e3-99d9-cc32bfc58ad6,인문(문화/예술/역사),문화시설,도서관,2588
중구,서울특별시,청계천,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=382d5823-16f0-4793-aea7-3e77451bd68e,인문(문화/예술/역사),휴양관광지,공원,2486
구로구,서울특별시,푸른수목원&항동철길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3ee5c945-73f5-4796-b715-b7d0c93759d4,자연,자연관광지,수목원,2469
용산구,서울특별시,서해금빛열차,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=08c8b94c-aa48-4602-9e10-1013b7fbb784,인문(문화/예술/역사),체험관광지,이색체험,2409
마포구,서울특별시,채그로,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=26a0cea1-8c42-45f8-9406-465c2ac20a28,쇼핑,쇼핑,전문매장/상가,2383
종로구,서울특별시,돈의문박물관마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=173f639d-238f-428e-807d-56b7a722f418,인문(문화/예술/역사),문화시설,박물관,2350
종로구,서울특별시,백사실계곡,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6f0ce9af-a4d6-42ab-9b72-73e05ef0f6c4,자연,자연관광지,계곡,2338
강남구,서울특별시,봉은사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=eba1cc70-dbed-4b31-b61b-5292d7eabe77,인문(문화/예술/역사),역사관광지,사찰,2317
광진구,서울특별시,워커힐숲길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8d5043af-7b1d-410f-b71c-281e31f78ac5,레포츠,육상 레포츠,트래킹,2308
노원구,서울특별시,서울생활사박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6cc45655-5cf8-4e0c-9f18-932862604458,인문(문화/예술/역사),문화시설,박물관,2304
강북구,서울특별시,북서울 꿈의숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=007befa7-4e6b-4839-a3c9-79f6dc5f9cba,자연,자연관광지,자연생태관광지,2268
송파구,서울특별시,송파나루공원(석촌호수),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d824e33b-bb7c-4b85-be9e-d59b15ec31c6,인문(문화/예술/역사),휴양관광지,공원,2208
종로구,서울특별시,목인박물관 목석원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5afa045e-cc87-4ed0-931a-4f6be8626187,인문(문화/예술/역사),문화시설,박물관,2205
중구,서울특별시,남대문시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d82b581d-e8e7-40b9-9a64-5abab3a54a38,쇼핑,쇼핑,상설시장,2183
성동구,서울특별시,서울숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=02f56ab2-5e53-470f-8ec3-95cf8fb88aa4,인문(문화/예술/역사),휴양관광지,공원,2172
중구,서울특별시,남대문 문구상가,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b02d835f-91d5-4374-b50e-f118f77b47a1,쇼핑,쇼핑,전문매장/상가,2145
종로구,서울특별시,탑골공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f56a28b4-7d90-43c8-a54b-fdf609bf9519,인문(문화/예술/역사),휴양관광지,공원,2130
동대문구,서울특별시,경동시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6f9c69df-69e8-4dec-ba27-c31789310df3,쇼핑,쇼핑,상설시장,2103
중구,서울특별시,방산 종합시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cc3a2462-6092-4b66-99fe-88b60d4d2086,쇼핑,쇼핑,상설시장,2071
서초구,서울특별시,동작구름카페,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d101b24c-abbe-462e-b616-3617b85accad,음식,음식점,카페/전통찻집,2046
중구,서울특별시,남산골한옥마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=535d404a-4d6b-4a41-b938-930eef9e31a9,인문(문화/예술/역사),역사관광지,민속마을,2045
종로구,서울특별시,북악스카이 팔각정,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2444850e-b6da-4a0e-a2dd-0ed4347e5361,인문(문화/예술/역사),휴양관광지,공원,2013
강남구,서울특별시,풍월당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9dcb88b0-3051-41fb-8dd8-a741fbf7c059,쇼핑,쇼핑,전문매장/상가,2011
중구,서울특별시,헬로우 에이피엠 (Hello apm),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4efe7e0a-3992-4fe5-b9d1-fb9195c98c54,쇼핑,쇼핑,전문매장/상가,1992
종로구,서울특별시,세운상가,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6c4c7c67-9e2b-487d-b67a-45f37f62bdbc,인문(문화/예술/역사),산업관광지,기타,1985
송파구,서울특별시,한성백제박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=092d390e-b7bc-494a-b9b0-520b69e68ad4,인문(문화/예술/역사),문화시설,박물관,1974
종로구,서울특별시,호텔큐비(호텔QB) [한국관광 품질인증/Korea Quality],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8caca1fb-e59e-4b9e-94da-d64262af058d,숙박,숙박시설,관광호텔,1970
관악구,서울특별시,삼성산성지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=809b8dc5-2c7d-4e85-a707-2997d50ebc1e,인문(문화/예술/역사),역사관광지,종교성지,1949
종로구,서울특별시,창의문(자하문),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=94593bdc-8ffc-4f47-b3dd-2ebd53bc8bf8,인문(문화/예술/역사),역사관광지,문,1947
강서구,서울특별시,강서농산물도매시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=56d81bd3-606a-473b-801c-faf2b0c2b55b,쇼핑,쇼핑,상설시장,1929
종로구,서울특별시,뮤직컴플렉스 서울,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=095233d9-9379-433a-b8ab-91ee8e6eea1b,음식,음식점,카페/전통찻집,1891
강북구,서울특별시,도선사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=94cacaba-393b-4e77-9ce6-0b9fcab6cc2f,인문(문화/예술/역사),역사관광지,사찰,1864
성북구,서울특별시,[북악하늘길 스카이웨이] 하늘한마당~하늘마루,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=afc71018-af06-4294-ac52-68cf99679c17,레포츠,육상 레포츠,트래킹,1851
성북구,서울특별시,북정마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=85abf749-25b0-4278-bda5-7ecdc36873c4,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,1848
마포구,서울특별시,망원시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d345fa6e-2e20-42ab-95c1-7fcbbf437888,쇼핑,쇼핑,상설시장,1835
