언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
일본어,성동구,서울특별시,ソウルの森（서울숲）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2482290,인문(문화/예술/역사),휴양관광지,공원,952
일본어,용산구,서울특별시,梨泰院ショッピング通り（이태원 쇼핑거리）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=292048,인문(문화/예술/역사),체험관광지,이색거리,935
일본어,서초구,서울특별시,芸術の殿堂（예술의전당）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1139253,인문(문화/예술/역사),문화시설,공연장,933
일본어,종로구,서울특별시,世宗文化?館（세종문화회관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282312,인문(문화/예술/역사),문화시설,공연장,931
일본어,송파구,서울특별시,キッザニアソウル（키자니아 서울）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1187359,인문(문화/예술/역사),산업관광지,기타,928
일본어,중구,서울특별시,明洞ソソカルビ（명동서서갈비）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2665394,음식,음식점,한식,905
일본어,용산구,서울특별시,梨泰院?光特?（이태원 관광특구）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281250,인문(문화/예술/역사),휴양관광지,관광단지,846
일본어,중구,서울특별시,ソウル 明洞聖堂（서울 명동성당）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281183,인문(문화/예술/역사),역사관광지,종교성지,819
일본어,용산구,서울특별시,現代アイパ?クモ?ル（현대 아이파크몰）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1215247,쇼핑,쇼핑,전문매장/상가,810
일본어,서초구,서울특별시,スパレイ（스파레이）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=615567,인문(문화/예술/역사),휴양관광지,이색찜질방,807
일본어,중구,서울특별시,?域?誤녑???긱?삠?녈?욍?쇽紐??愿?愿??蹂댁?쇳?곤,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2616798,인문(문화/예술/역사),체험관광지,이색체험,791
일본어,광진구,서울특별시,峨嵯山（아차산）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1976345,자연,자연관광지,산,786
일본어,중구,서울특별시,??宮王宮守門?交代儀式（덕수궁 왕궁수문장교대의식）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=293538,인문(문화/예술/역사),공연/행사,전통공연,776
일본어,종로구,서울특별시,??ユ?遺?珥? 8寃쏙,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2541271,인문(문화/예술/역사),역사관광지,민속마을,767
일본어,동작구,서울특별시,?立ソウル?忠院（국립서울현충원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1911153,인문(문화/예술/역사),역사관광지,유적지/사적지,728
일본어,중구,서울특별시,孃녑若?녑?ｉ??竊???沅? ?닿만竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1744847,인문(문화/예술/역사),체험관광지,이색거리,694
일본어,중구,서울특별시,モッミョッサンバン ( 목멱산방 ),https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2687146,음식,음식점,한식,691
일본어,용산구,서울특별시,╊鼇?恙들ㄸ竊???湲곕??愿?竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282306,인문(문화/예술/역사),문화시설,기념관,672
일본어,종로구,서울특별시,通仁市場（통인시장）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1804515,쇼핑,쇼핑,상설시장,660
일본어,중구,서울특별시,ソウル路7017（서울로 7017）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2497284,인문(문화/예술/역사),휴양관광지,공원,647
일본어,중구,서울특별시,ハムチョカンジャンケジャン（함초간장게장）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2665324,음식,음식점,한식,630
