순위,업소명,주소,분류
86,맥도날드서초GS점,서울 서초구 반포대로 69-0,간이음식
87,아웃백스테이크하우스공항점,서울 강서구 마곡중앙6로 16-0,전문음식
88,스윗솔트,서울 강동구 상암로 286-0,전문음식
89,스타벅스송파방이DT점,서울 송파구 오금로 241-0,카페/찻집
90,VIPS프리미어등촌점,서울 강서구 공항대로 311-0,전문음식
91,애슐리퀸즈잠실롯데캐슬점,서울 송파구 올림픽로 269-0,전문음식
92,연희동손칼국수본점,서울 서대문구 연희맛로 37-0,한식
93,홍능갈비집본점,서울 동대문구 제기로 85-0,한식
94,런던베이글뮤지엄안국점,서울 종로구 북촌로4길 20-0,간이음식
95,한일관압구정점 [한식],서울 강남구 압구정로38길 14-0,한식
96,소호정본점,서울 서초구 논현로 27-0,한식
97,산청숯불가든마곡점,서울 강서구 마곡중앙8로 85-0,한식
98,어나더사이드,서울 강서구 강서로 318-0,카페/찻집
99,군산오징어본점,서울 송파구 삼학사로 101-0,전문음식
100,신토불이떡볶이본점,서울 광진구 자양로43길 42-0,간이음식
