,attraction,location,tag,주소,위도,경도
85,동흥관,서울 금천구,#가족식사_추천#간짜장#군만두#노포맛집#마파두부밥#맛집#수타짜장면#우동#음식#잡채밥#짬뽕#탕수육,서울특별시 금천구 시흥대로63길 20,37.4580181632,126.8964843292
86,카페엠(Cafe M),서울 강남구,#분위기_좋은#유기농아이스크림#음식#플랜테리어#플랜테리어카페,서울특별시 강남구 삼성로 634,37.51669191,127.0518796383
87,동다헌,서울 성북구,#맛집#성북구#음식#전통찻집#한방차,서울특별시 성북구 도봉로3길 15,37.610388949,127.0292207093
88,송추가마골 은평1호점,서울 은평구,#북한산맛집#송추가마골은평1호점#우대본갈비#음식#진관동갈비집#진관동맛집,서울특별시 은평구 북한산로 276,37.6542405776,126.9399331626
89,피아노 카페(piano cafe),서울 마포구,#맛집#연인과함께#음식#카페,서울특별시 마포구 와우산로23길 18-5,37.5539297432,126.9244540811
90,평양면옥,서울 중구,#냉면#맛집#불고기#어복쟁반언론소개_맛집#음식#제육#편육,서울특별시 중구 장충단로 207,37.5630190466,127.0064685722
91,인크커피 가산점,서울 금천구,#가디맛집#가볼래터#금천구카페#여행구독#음식#인크카페가산점#인크커피#인크커피가산점,서울특별시 금천구 가산디지털2로 127-20,37.4793931305,126.8780881826
95,성북동누룽지백숙,서울 성북구,#누룽지백숙#누룽지백숙#들깨메밀수제비#맛집#메밀국수#메밀비빔국수#메밀수제비#메밀전#성북동맛집#음식#한식,서울특별시 성북구 성북로31길 9,37.5945817565,126.9904580248
96,고래불,서울 강남구,#고래고기#맛집#바다물곰탕#생꽃새우#음식#자연산전복회#자연산활어회#코스요리,서울특별시 강남구 논현로79길 62(역삼동),37.4963467287,127.0339873983
97,배정철어도,서울 강남구,#남녀노소#맛집#생선초밥#생선회#음식#일식#일식당#점심특선#정식가성비_갑#초밥,서울특별시 강남구 언주로148길 14,37.5206189497,127.0361670686
98,아이러브신당동떡볶이,서울 중구,#궁중떡볶이#눈물떡볶이#맛집#신당동떡볶이#음식#치즈떡볶이#해물떡볶이,서울특별시 중구 퇴계로76길 50,37.5631802871,127.0147455912
99,삼청각,서울 송파구,#남녀노소#돼지양념갈비#맛집#양념갈비#음식#한식#한식당#한식맛집#한우#한우구이#한우생고기,서울특별시 성북구 대사관로 3,37.597422969,126.9835391309
100,진주집,서울 영등포구,#냉콩국수#냉콩국수#닭칼국수#닭칼국수#맛집#비빔국수#영등포구#음식#접시만두,서울특별시 영등포구 국제금융로6길 33,37.5207864162,126.9269103478
104,수빈,서울 서대문구,#간장게장#간장게장정식#깡장비빔밥정식#떡갈비#떡갈비정식#맛집#서대문구#수빈정식#음식#한정식#한정식집#황태구이정식,서울특별시 서대문구 연희로25길 31-3,37.5718583912,126.9343165645
105,횡성한우,서울 송파구,#방이동소고기#방이동횡성한우#석촌호수맛집#송파횡성한우#음식#잠실고기맛집,서울특별시 송파구 오금로 113 석촌씨티빌딩1층,37.5122406709,127.1086329335
106,조선김밥,서울 종로구,#맛집#음식,서울특별시 종로구 율곡로3길 68,37.5786223527,126.9822370048
107,촛불1978,서울 중구,#돈까스#라이스데이트_맛집#맛집#샐러드#서울특별시#스테이크#양식#음식#중구#파스타#퐁듀#퐁듀코스,서울특별시 중구 소파로 95,37.5567860576,126.9853262307
111,평안도족발집,서울 중구,#녹두빈대떡#맛집#맛집탐방#물막국수담백한_맛#비빔막국수#서울중구맛집#음식#족발,서울특별시 중구 장충단로 174-6,37.5603415727,127.0060825723
115,청와옥 본점,서울 송파구,#24시간음식점#방이동순대국#송파순대국#음식#청와옥#청와옥올림픽공원점#편백정식,서울특별시 송파구 위례성대로 48(방이동) 반도빌딩 1층 402호,37.5153738011,127.1175625872
116,형제갈비,서울 서대문구,#갈비#갈비탕#꽃갈비살#맛집#불고기#불고기#생갈비#서대문구#서울특별시#신촌형제갈비#양념갈비#음식#형제갈비,서울특별시 서대문구 명물1길 2,37.5579156217,126.9373583481
117,송화산시도삭면,서울 광진구,#가성비맛집#건대딤섬맛집#건대맛집#건대입구맛집#맛집제보#서울딤섬맛집#송화산시도삭면#음식,서울특별시 광진구 뚝섬로27길 48,37.5379619259,127.0665277017
118,제일콩집,서울 노원구,#감자부침담백한_맛#공릉동맛집#노원맛집#두부요리#두부찌개#맛집#서울맛집추천#순두부#음식#청국장#콩국수#콩국수#콩비지,서울특별시 노원구 동일로174길 37-8,37.6195776431,127.077677142
122,무교동 북어국집,서울 중구,#맛집#북어해장국#북어해장국가성비_갑#서울맛집추천#서울중구#음식#정성가득,서울특별시 중구 을지로1길 38,37.5677985691,126.9798819707
123,전민규의황제누룽지탕 노원직영점,서울 노원구,#노원황제누룽지탕#복날음식#복날음식#음식#전민규의황제누룽지탕#해물누룽지탕#해물누룽지탕#황제누룽지탕,서울특별시 노원구 노해로77길 14-8,37.6547815578,127.0596555582
124,살라댕템플,서울 성동구,#서울가볼만한곳#서울맛집#서울맛집추천#서울분위기좋은맛집#양식#음식#퓨전요리,서울특별시 성동구 성수동2가269-202,37.539953235,127.0595143952
125,로씨니,서울 종로구,#레스토랑#맛집#분위기_좋은정성가득#서울맛집추천#스테이크#안심스테이크#양갈비_석쇠구이#음식#이탈리아음식#종로맛집#파스타#파스타,서울특별시 종로구 북촌로 18,37.5784363286,126.9858533473
126,대도식당 왕십리본점,서울 성동구,#대도식당#성동구맛집#왕십리대도식당#왕십리맛집#음식#한우맛집#한우맛집,서울특별시 성동구 무학로12길 3 대도식당,37.5673273128,127.0306162501
127,옛날집낙원아구찜,서울 종로구,#낙원아구찜#맛집#분위기_좋은#수도권#아구찜#아귀찜#아귀탕#음식#해물찜#해물찜#해물탕,서울특별시 종로구 삼일대로 436,37.5762865793,126.985895071
128,영일분식,서울 영등포구,#가성비맛집#맛집#맛집제보#서울#영등포구#음식#칼국수#혼밥하기좋은,서울특별시 영등포구 도림로141가길 34-1,37.516302938,126.8896583133
