시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
종로구,서울특별시,북촌한옥마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=395d0087-0bd2-42a1-a051-49c4c46d8821,인문(문화/예술/역사),역사관광지,민속마을,3206
종로구,서울특별시,화운[한국관광 품질인증/Korea Quality],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=efe966e8-7d4e-49ab-8a70-71640566dbb0,숙박,숙박시설,한옥,3130
서초구,서울특별시,서래마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e3d5a4e3-bdda-4e23-8fed-f15c5116ddd8,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,3072
서초구,서울특별시,반포대교 달빛무지개분수,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=79ac09d6-364a-4762-b3d0-e7ee835b0063,인문(문화/예술/역사),건축/조형물,분수,3055
종로구,서울특별시,서울 한양도성(스탬프투어),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=08632d88-1fe7-40c4-8815-fceaa6ae6416,레포츠,육상 레포츠,트래킹,2999
성북구,서울특별시,길상사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1a007b60-c892-46c3-94dc-c7051ac9fa4f,인문(문화/예술/역사),역사관광지,사찰,2995
중구,서울특별시,청계천,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=382d5823-16f0-4793-aea7-3e77451bd68e,인문(문화/예술/역사),휴양관광지,공원,2968
강남구,서울특별시,스타필드 코엑스몰,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1c9a8770-2bbd-4b23-8b87-00ba2388dba4,쇼핑,쇼핑,전문매장/상가,2944
용산구,서울특별시,이태원 관광특구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=62ba6c16-3fe7-4e50-8299-abcf55c862c2,인문(문화/예술/역사),휴양관광지,관광단지,2873
종로구,서울특별시,낙산공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3c98e24b-9fb9-4ecf-b8a2-f26a5890748f,인문(문화/예술/역사),휴양관광지,공원,2836
성동구,서울특별시,성수연방,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7fbf0b20-25ca-4040-89ae-33592137bb4e,인문(문화/예술/역사),체험관광지,이색체험,2793
송파구,서울특별시,금강산감자탕 방이본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4b4323e8-e14a-4d99-a389-0cc8cb3a0ca1,음식,음식점,한식,2710
마포구,서울특별시,하늘공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c8cdaa17-55fb-4340-b15a-4401cb8b4635,인문(문화/예술/역사),휴양관광지,공원,2699
중구,서울특별시,황학동 벼룩시장 (도깨비시장 / 만물시장),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f155e4f6-aca6-40d5-a5fb-881e2ae2af15,쇼핑,쇼핑,상설시장,2667
종로구,서울특별시,목인박물관 목석원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5afa045e-cc87-4ed0-931a-4f6be8626187,인문(문화/예술/역사),문화시설,박물관,2663
구로구,서울특별시,푸른수목원&항동철길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3ee5c945-73f5-4796-b715-b7d0c93759d4,자연,자연관광지,수목원,2551
종로구,서울특별시,광장시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=242c556a-2365-47b9-be5c-ea36d8db3663,쇼핑,쇼핑,상설시장,2534
마포구,서울특별시,경의선숲길(연트럴파크),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e7d38413-d50f-4224-8708-55d436ea4e61,레포츠,육상 레포츠,트래킹,2533
광진구,서울특별시,한강시민공원 뚝섬지구(뚝섬한강공원),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=654574cc-fb6b-41da-85ea-ca7e1619cd48,인문(문화/예술/역사),휴양관광지,공원,2439
종로구,서울특별시,중앙고등학교,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=05e7b0b3-0fe5-4d36-981c-fe784bd61f94,인문(문화/예술/역사),역사관광지,유적지/사적지,2390
용산구,서울특별시,서해금빛열차,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=08c8b94c-aa48-4602-9e10-1013b7fbb784,인문(문화/예술/역사),체험관광지,이색체험,2375
마포구,서울특별시,채그로,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=26a0cea1-8c42-45f8-9406-465c2ac20a28,쇼핑,쇼핑,전문매장/상가,2368
종로구,서울특별시,경희궁,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a82d1e7d-95bc-4a17-ac4d-6beee6b3e716,인문(문화/예술/역사),역사관광지,고궁,2347
