Attraction,tag_word_N,korean,chinese,japanese,west,etc,cafe,max,type
여의도백리향,"['식사', '여의도', '코스', '맛집', '가족', '식당', '중국음식', '다이닝', '요리', '추천', '분위기', '빌딩', '음식']",0,1,0,0,1,0,1,chinese
송파구횡성한우,"['방이동', '한우', '송파', '소고기', '횡성', '맛집', '잠실', '고기', '음식', '석촌호수']",1,0,0,0,0,0,1,korean
도봉구대문한정식,"['한정식', '맛집', '도봉구', '간장게장', '음식']",2,0,0,0,0,0,2,korean
촛불1978,"['양식', '라이스', '서울특별시', '퐁듀', '코스', '샐러드', '맛집', '데이트', '중구', '파스타', '돈까스', '스테이크', '음식']",1,0,1,6,0,0,6,west
평안도족발집,"['빈대떡', '족발', '맛집', '녹두', '중구', '물', '맛', '서울', '막국수', '비빔', '음식', '탐방']",4,0,0,0,0,0,4,korean
청와옥 본점,"['정식', '방이동', '올림픽', '송파', '청', '대국', '옥', '편백', '원점', '음식']",1,0,0,0,0,0,1,korean
서대문구형제갈비,"['형제', '꽃', '갈비탕', '서울특별시', '서대문구', '생', '맛집', '갈비살', '신촌', '갈비', '양념', '불고기', '음식']",4,0,0,0,0,0,4,korean
송화산시도삭면,"['산시', '삭', '딤섬', '송화', '건대', '맛집', '입구', '비', '음식', '제보', '가성', '서울']",0,1,0,0,0,0,1,chinese
참만나,"['노원구', '정식', '꽃', '한우', '대패', '쌈밥', '맛집', '돼지', '갈비', '등심', '차돌', '음식', '매운갈비찜']",6,0,0,0,0,0,6,korean
제일콩집,"['공릉동', '찌개', '청국장', '콩국수', '감자', '맛집', '두부', '콩', '비지', '맛', '요리', '서울', '추천', '순두부', '노원', '음식']",5,0,0,0,0,0,5,korean
무교동 북어국집,"['북어', '갑', '정성', '가득', '맛집', '성비', '중구', '추천', '서울', '해장국', '음식']",1,0,0,0,0,0,1,korean
전민규의황제누룽지탕 노원직영점,"['해물', '민규', '복날', '음식', '황제', '노원', '누룽지', '탕']",3,0,0,0,0,0,3,korean
WANGTHAI,"['팟타이', '맛집', '국적', '얌꿍', '분위기', '음식', '얌운센']",0,0,0,0,3,0,3,etc
성수살라댕템플,"['양식', '곳', '요리', '맛집', '퓨전', '서울', '추천', '분위기', '음식']",0,0,0,1,0,0,1,west
관훈동 산촌,"['사찰', '생강차', '산나물', '사찰음식', '저녁', '종로', '맛집', '화차', '요리', '쌍', '점심', '음식', '한식', '유자차']",3,0,0,0,0,2,3,korean
로씨니,"['구이', '정성', '가득', '레스토랑', '맛집', '석쇠', '종로', '파스타', '갈비', '이탈리아음식', '안심', '서울', '추천', '분위기', '스테이크', '음식']",2,0,0,4,1,0,4,west
대도식당 왕십리본점,"['왕십리', '한우', '맛집', '식당', '성동구', '대도', '음식']",1,0,0,0,0,0,1,korean
산채향,"['더덕', '정식', '부모님', '맛집', '요리', '한식', '한식당', '마을', '음식', '매운갈비찜', '이정식']",4,0,0,0,0,0,4,korean
사간동푸드떼,"['여행', '화과자', '티룸', '찻집', '종로', '홍차', '맛집', '터', '티', '카페', '구독', '음식']",0,0,0,0,0,6,6,cafe
마포삼다코지,"['여행', '감성', '아메리카노', '터', '카페', '서울', '구독', '음식']",0,0,0,0,0,2,2,cafe
옛날집낙원아구찜,"['수도권', '낙원', '맛집', '아귀찜', '해물탕', '아구찜', '해물찜', '분위기', '아귀', '음식', '탕']",5,0,0,0,0,0,5,korean
영일분식,"['영등포구', '칼국수', '맛집', '혼밥', '비', '음식', '제보', '가성', '서울']",1,0,0,0,0,0,1,korean
아재왔소,"['리', '백숙', '맛집', '도봉구', '미요', '간', '음식', '오리']",2,0,0,0,0,0,2,korean
르몽블랑,"['여행', '감성', '핫', '이색', '터', '레이스', '디저트', '카페', '구독', '음식']",0,0,0,0,0,2,2,cafe
대치동중앙해장,"['해장', '중앙', '강남', '선지국', '선지', '해장국', '삼성동', '음식']",3,0,0,0,0,0,3,korean
고궁의 아침,"['남녀', '한우', '종로구', '생', '맛집', '양념', '갈비', '노소', '등심', '음식', '냉면', '해장국', '한식', '돼지갈비', '선지']",8,0,0,0,0,0,8,korean
성북동돼지갈비본점,"['수도권', '맛집', '떡갈비', '집', '돼지갈비', '음식', '서울', '불고기', '백반', '성북동']",4,0,0,0,0,0,4,korean
강동황도바지락칼국수,"['왕만', '칼국수', '맛집', '국수', '냉', '음식']",2,0,0,0,0,0,2,korean
금왕돈까스,"['금', '정식', '심', '안심', '소개', '함박스테이크', '맛집', '성북구', '언론', '까스', '서울시', '생선', '돈까스', '음식']",1,0,2,2,0,0,2,japanese
운산,"['한정식', '음식', '맛집']",1,0,0,0,0,0,1,korean
서초구통나무집,"['꽃', '살', '육회', '갈비탕', '맛집', '갈비살', '양념', '갈비', '등심', '음식']",6,0,0,0,0,0,6,korean
설마중,"['이심전심', '우정', '위', '선호', '외국인', '한정식', '진수', '맛집', '숯불', '갈비', '서울', '음식']",2,0,0,0,0,0,2,korean
강서도일처,"['중식', '수도권', '짜장면', '처', '도일', '맛집', '동파육', '서울', '음식']",0,3,0,0,0,0,3,chinese
강남곰바위,"['무', '구이', '한우', '수도권', '막창', '연중', '곰', '특', '맛집', '서울', '바위', '음식']",3,0,0,0,0,0,3,korean
드럼통 참숯석쇠구이,"['송파구', '음식', '막창', '창살', '육류', '된장찌개', '맛집', '고기', '갈비살', '안', '요리', '서울시', '국수', '삼겹살', '열무']",6,0,0,0,0,0,6,korean
종로구밀림,"['태국', '인스타', '여행', '종로구', '핫', '음식점', '맛집', '터', '창신동', '레이스', '서울', '구독', '음식']",0,0,0,0,1,0,1,etc
인사동 촌,"['정식', '해물파전', '전문점', '북촌', '선호', '맛집', '철판', '절편', '낙지', '맛', '요리', '외국인', '한식당', '볶음', '음식', '한식']",6,0,0,0,0,0,6,korean
[백년가게]대호정,"['오징어', '백년', '쌈밥', '가게', '맛집', '돼지갈비', '음식', '서울', '냉삼']",3,0,0,0,0,0,3,korean
아델라베일리,"['스토', '웨딩', '카페', '라베', '북악산', '장소', '맛집', '스몰', '레스토랑', '일리', '하우스', '음식', '레', '부암동', '전망', '링', '아델', '선셋', '북악스카이웨이']",0,0,0,0,1,1,1,etc
삼대할먼네,"['수도권', '삼대', '신당동', '맛집', '서울', '떡볶이', '음식']",1,0,0,0,0,0,1,korean
용산구기와,"['음식', '상차림', '선호', '갈비찜', '용산구', '맛집', '떡갈비', '보리', '한정식', '굴비', '어탕', '외국인', '수']",7,0,0,0,0,0,7,korean
을지다방,"['찍기', '여행', '감성', '곳', '사진촬영', '음식점', '이색', '연인', '친구', '명소', '카페', '뉴트', '사진', '음식']",0,0,0,0,0,1,1,cafe
해담채 남부터미널점,"['해', '코스', '담채', '맛집', '요리', '음식', '서초']",2,0,0,0,0,0,2,korean
감꽃당,"['휴식', '찍기', '여행', '에그타르트', '곳', '공간', '종로', '맛집', '힐링', '연인', '디저트', '카페', '사진', '음식']",0,0,0,0,0,3,3,cafe
국화정원,"['백반', '정', '코스', '한정식', '맛집', '성북구', '간장게장', '요리', '한식', '특선', '품', '점심', '음식']",4,0,0,0,0,0,4,korean
뽐모도로,"['종로구', '파스타', '음식', '맛집']",0,0,0,1,0,0,1,west
트레스드,"['이탈리아', '맛집', '이색', '디저트', '세대', '카놀리', '분위기', '음식']",0,0,0,2,0,1,2,west
수유동가문,"['굴짬뽕', '코스', '탕수육', '맛집', '요리', '짬뽕', '자장면', '음식']",0,4,0,0,0,0,4,chinese
북한산 큰숲 제빵소,"['가마', '북한', '베이커리', '송추', '운빵', '산', '주택', '개조', '둘레길', '온천', '소', '카페', '비젠', '음식', '제빵']",0,0,0,0,0,3,3,cafe
다래함박스텍,"['돈가스', '유리기', '비식', '함박스테이크', '다래', '맛집', '식당', '기사', '가성', '음식']",2,0,2,1,0,0,2,korean
뱃고동,"['오징어', '소개', '전골', '산낙지', '맛집', '낙지', '언론', '불고기', '음식']",4,0,0,0,0,0,4,korean
한강파라다이스,"['곳', '데이트', '서울시', '커플', '불고기', '삼겹살', '맛집', '한강', '피자', '스테이크', '마르', '게리', '음식', '경치', '디', '양식', '실내', '영등포구', '연인', '고르곤졸라']",2,0,0,4,0,1,4,west
미가할매집,"['꽃', '매집', '요리', '등심', '정성', '생', '맛집', '미가', '식사', '한우', '가득', '숯불', '추천', '음식', '구이', '코스', '한정식', '가족', '갈비살']",5,0,0,0,0,0,5,korean
