,Attraction,Subclass,Address,Participants
107,뮤직컴플렉스 서울,"카페,디저트",서울특별시 종로구 인사동길 49 안녕인사동 5층 뮤직컴플렉스서울,610
108,또순이네집,소고기구이,서울특별시 영등포구 선유로47길 16 오오1004빌딩,"2,778"
109,우묵배미,돼지고기구이,서울특별시 관악구 남부순환로 1540 1층,126
110,영등포청과시장,시장,서울특별시 영등포구 영신로41길 5-1 에이원하우징,19
111,보라매공원,근린공원,서울특별시 동작구 여의대방로20길 33,838
112,청계산,돼지고기구이,서울특별시 서초구 청계산로 434,632
113,호텔 카푸치노,3성급,서울특별시 강남구 봉은사로 155 호텔 카푸치노,183
114,한강시민공원 망원지구(망원한강공원),시민공원,서울특별시 마포구 마포나루길 467 한강공원망원지구사무소,141
115,국립한글박물관,박물관,서울특별시 용산구 서빙고로 139,265
116,토속촌삼계탕,"백숙,삼계탕",서울특별시 종로구 자하문로5길 5 토속촌,"4,675"
117,허준박물관,박물관,서울특별시 강서구 허준로 87 허준박물관,39
118,남산공원,"도시, 테마공원",서울 중구 삼일대로 231,130
119,석파랑,한정식-일반,서울특별시 종로구 자하문로 309,87
120,마로니에공원,근린공원,서울특별시 종로구 대학로 104,401
121,[백년가게]선천집,한식,서울특별시 종로구 인사동14길 5,58
122,경춘선숲길,도보코스,서울특별시 노원구 공릉동 272-2,23
123,종이나라박물관,박물관,서울특별시 중구 장충단로 166 종이나라빌딩 2층,182
124,청수정,한식,서울특별시 종로구 삼청로 91,996
125,코엑스 아쿠아리움,아쿠아리움,서울특별시 강남구 영동대로 513,"9,220"
126,어린이 감각놀이터 디키디키,"키즈카페,실내놀이터",서울특별시 중구 을지로 281 DDP 뮤지엄(배움터) 4층,"1,815"
127,피규어뮤지엄W,박물관,서울특별시 강남구 선릉로158길 3 Ys Roo,143
128,서울 종로 낙지볶음 골목,"족발,보쌈",서울특별시 종로구 수표로20길 22,609
129,채석장 전망대,전망대,서울특별시 종로구 낙산5길 51,203
130,[백년가게]만석장,한식,서울특별시 은평구 대서문길 43-10,"1,044"
131,서울광장 스케이트장,스케이트장,서울특별시 중구 을지로 12,44
132,용산초등학교 실내수영장,수영장,서울특별시 용산구 한강대로57길 33 용산초등학교수영장,29
