Attraction,tag_word_N,korean,chinese,japanese,west,etc,cafe,max,type
샤오바오우육면 종로본점,"['음식', '샤', '바오', '우육', '본점', '맛집', '종각']",0,2,0,0,0,0,2,chinese
수연산방,"['수연산방', '문화재', '이야기', '여행', '공부', '유적', '속', '수도권', '유적지', '성북', '성북동', '가옥', '상', '역사탐방', '관광지', '역사', '곳', '탐험', '이태준', '찻집']",0,0,0,0,0,1,1,cafe
필동면옥,"['음식', '중구', '만두', '평양', '서울', '맛집', '맛', '서울특별시', '충무로', '접시', '제육', '냉면', '비빔냉면']",5,0,0,0,0,0,5,korean
도넛정수 창신,"['음식', '흑임자', '도넛', '한과', '한국', '선물', '추천', '디저트']",0,0,0,0,0,4,4,cafe
티테라피,"['음식', '구독', '공간', '휴식', '종로구', '여행', '방차', '곳', '터', '힐링', '남녀', '연인', '노소']",0,0,0,0,0,1,1,cafe
진옥화할매원조닭한마리,"['음식', '닭', '마리', '골목', '종로', '맛집', '서울', '칼국수']",1,0,0,0,0,0,1,korean
강서구 고성막국수,"['음식', '편육', '동치미', '맛집', '막국수']",3,0,0,0,0,0,3,korean
원조홍어 본점,"['음식', '홍어회', '맛집', '한식', '홍어삼합', '거리', '신길동', '홍어', '영등포']",4,0,0,0,0,0,4,korean
해방촌 혼고,"['음식', '혼밥', '화로', '맛집', '서울', '구이']",1,0,0,0,0,0,1,korean
카페 할아버지공장,"['공간', '음식', '복합', '감성', '서울', '문화', '카페']",0,0,0,0,0,1,1,cafe
울프강스테이크하우스,"['음식', '강', '포터', '샐러드', '맛집', '버거', '가족', '추천', '울프', '클래식', '스테이크', '하우스', '식사']",0,0,0,3,0,0,3,west
남도분식 익선점,"['음식', '종로', '여행', '서울', '맛집', '남도', '분식']",1,0,0,0,0,0,1,korean
태극당,"['옛날', '데이트', '음식', '분위기', '빵집', '체인점', '맛', '빵', '고풍', '복', '베이커리']",1,0,0,0,0,3,3,cafe
낙원떡집,"['음식', '미래', '유산', '서울', '곳', '추천', '여행지', '떡집']",0,0,0,0,0,1,1,cafe
두가헌 레스토랑,"['공간', '음식', '레스토랑', '이색', '종로', '코스', '맛집', '서울', '맛', '삼청동', '수도권', '와인', '요리', '연인', '가헌', '문화', '스테이크']",0,0,0,2,1,0,2,west
RSG 성수,"['음식', '라이더', '라이딩', '성지', '숍', '편집', '성수', '카페']",0,0,0,0,0,2,2,cafe
스미스가 좋아하는 한옥,"['음식', '피자', '마르', '리오', '크림', '양식', '맛집', '서울', '스미스', '수도권', '알리오', '게리', '리조또', '안심', '버섯', '옥', '스테이크']",1,0,0,7,0,0,7,west
뉘조,"['음식', '종로', '인사동', '서울', '연중', '맛집', '수도권', '한식', '뉘', '무']",1,0,0,0,0,0,1,korean
하나로회관,"['음식', '특정', '종로구', '전골', '가게', '서울시', '맛집', '곱창전골', '백년', '정성', '성비', '가득', '한정식', '갑', '하나로', '버섯', '정식']",4,0,0,0,0,0,4,korean
명동칼국수 본점,"['음식', '왕만', '가게', '사골', '보쌈', '국물', '맛집', '떡', '만두국', '백년', '서울', '정성', '칼국수', '가득', '정식']",5,0,0,0,0,1,5,korean
소문난성수감자탕 별관,"['감자탕', '음식', '성수동', '뚝섬', '서울', '맛집', '방영']",1,0,0,0,0,0,1,korean
진미옥설농탕,"['음식', '도가니탕', '진미', '옥', '송파', '가게', '설렁탕', '맛집', '탕', '백년', '머리', '한식', '국밥', '남녀', '노소']",5,0,0,0,0,0,5,korean
꽃새우 영번지,"['음식', '맛집']",0,0,0,0,0,0,0,korean
해주냉면 본점,"['음식', '해주', '음식점', '잠실', '서울', '신천', '맛집', '한식', '냉면', '비빔냉면']",3,0,0,0,0,0,3,korean
충무로부산복집,"['음식', '복집', '복어', '맛집', '불고기', '요리', '맛', '복샤브', '부산', '서울', '수도권', '한식', '복', '매운탕', '지리']",7,0,0,0,0,0,7,korean
평창동북악정 신관,"['정궁', '럭', '무', '꽃', '음식', '북악', '등심', '정이', '수도권', '한식', '이상', '갈비', '살', '정', '맛집', '서울', '연중', '한우', '생', '주물']",5,0,0,0,0,0,5,korean
계림식당,"['음식', '맛집']",0,0,0,0,0,0,0,korean
자하손만두,"['음식', '손', '자하', '만두', '만둣국', '미쉐린', '가이드', '종로구', '떡', '맛', '만두국', '만두전골', '맛집', '물만두', '서울특별시', '정성', '가득']",6,0,0,0,0,1,6,korean
키누카누,"['음식', '뷔페', '키누', '발산역', '맛집', '초밥', '스시', '카누']",0,0,2,0,1,0,2,japanese
