Attraction,가격 및 가치,서비스,시설 및 분위기,음식의 속성,주변 인프라
켄싱턴호텔 여의도 뉴욕뉴욕,138,306,893,610,69
코끼리베이글,327,650,542,8401,23
코리아하우스,3,12,24,44,0
코코넛박스 카페,268,1045,10392,6318,18
키누카누,2127,591,3244,3469,514
키다리아저씨,88,178,109,663,1
키미아트,2,29,250,172,14
타마린드,48,156,734,1037,55
타볼로24,1005,718,2646,2183,217
타지펠리스,13,40,61,187,0
태극당,623,1702,6260,15718,49
태림산채정식,56,137,242,732,23
태조대림감자국,48,130,138,555,27
터치더스카이,33,118,371,286,27
테르트르카페,35,183,2148,997,13
토속촌삼계탕,193,696,2971,6351,373
톰볼라,57,143,346,503,39
통일집,4,10,9,46,0
툭툭누들타이,89,634,1199,2415,40
트레스드,22,225,564,1265,3
티테라피,116,263,770,993,1
파크 하얏트 서울 코너스톤,87,219,620,476,60
파툼(FATUM),7,48,313,154,1
패션5,173,827,3781,7169,349
페르시안궁전,362,1167,2924,4757,45
평래옥,102,183,600,1582,5
평안도만두집,29,117,169,789,12
평안도족발집,145,365,502,2261,29
평창동북악정 신관,34,178,682,809,134
포포인츠 바이 쉐라톤 조선 서울역 더 이터리,670,335,1214,887,89
풍류사랑,0,5,7,10,0
프로퍼커피바2호점,36,147,997,1899,27
필경재,5,15,92,55,2
필동면옥,99,430,885,3344,48
하나로회관,67,81,232,292,21
하단,6,30,48,302,2
하모,39,90,204,301,24
하이디라오 서초지점,87,854,1616,2270,29
학림다방,46,336,1612,2013,1
한강파라다이스,16,55,231,166,20
한모네 순대국,54,77,96,258,3
한쿡 N서울타워,26,102,520,428,2
함흥에겨울냉면,0,2,11,13,0
해담채 강남점,191,219,843,865,31
해담채 남부터미널점,135,131,578,558,52
해담채 삼성점,125,150,600,618,47
해담채 서여의도점,100,136,385,482,44
해랑,12,10,48,108,3
해방촌 혼고,74,162,311,500,0
해안반점,36,62,88,381,2
해주냉면 본점,315,515,819,2433,14
해품장팔팔장어,138,176,601,906,23
향림,21,53,208,359,19
허형만의 압구정커피집,9,20,10,61,4
헤이더그린,43,171,1504,845,378
현대칼국수,169,167,157,761,2
호남식당,186,172,168,763,4
호남집,157,189,136,732,2
홍능갈비집본점,25,183,191,557,86
홍루몽,80,45,71,246,0
홍어명가,5,4,8,13,0
홍원,17,32,61,86,6
화니 신세계 강남점,53,290,610,1297,56
황금정원,172,254,1147,2009,373
황생가칼국수,323,921,1795,5523,96
황토추어탕,224,154,216,750,57
희락갈치,610,603,512,3215,13
히라메키,39,40,83,179,1
