video_title,video_view_count,author,comment_date,comment,reply_author,reply_date,reply_comment
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@future-oriented67,2024-04-25T10:49:26Z,"뭘 또, 기업이야 더 잘 운영하는 곳이 맏아서 경영하면 좋은것 아닌가.....!!!!",,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@japs815,2024-04-25T12:47:09Z,기시다야 안심해 윤석열이자너 뭐가 걱정이야,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@Bazokun,2024-04-25T14:38:43Z,친일외교 하고 이정도면 ㅋㅋ.,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@fasgrxc,2024-04-25T12:02:56Z,친일이 여당인데 방법이 있나,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@YOON-od3lh,2024-04-25T12:11:17Z,어차피 한국은 카톡만 쓰는데 일본에 팔아도 무방,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@gumncondom,2024-04-25T14:06:56Z,일본 기쁘게 해주자. 윤석열이가 선물로 그냥 줘라. 네이버는 검찰출동시켜서 압수수색으로 밟으면 돼,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-nx2uo3lm8d,2024-04-25T09:29:27Z,독도도 주고 싶은데...국민눈치 보느라~~,,,
,,@KelsiSleepergz,2024-04-25T09:34:08Z,,@KelsiSleepergz,2024-04-25T09:34:08Z,"밝히는 지망생들 활동하는거<br>⏪나만 몰랐냐😡 <br>궁금하면 들어가서 확인해여<br>특이취향들 널렸어"
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-zl3hl5lj6d,2024-04-25T12:31:13Z,친일파 대통령 보고 빨리 뜯으려고 하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@jm5003,2024-04-25T13:23:27Z,안넘기면 한국에서 굥이 네이버 탈탈 털어서 망하게 만들려고 할껀데 넘겨야지,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@avery461,2024-04-25T15:21:26Z,황국이 조선놈들꺼 뺏는다는데 문제있음? ㅋㅋㅋ 역사적으로 그래왔으니 받아드려라~,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@jhkim4578,2024-04-25T13:56:59Z,윤총독이 네이버 압박할 듯...,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@kimsalt_kor,2024-04-25T14:53:20Z,석열아 기시다 그간 빨았으니 이거라도 해결해봐라.,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-fv4vg2qt9u,2024-04-25T12:34:45Z,네이벙 일본에게  뺏기면 돈맥경화 걸린다데쓰 라인 주축 사업권 축소 된다고<br>ㅠㅠ 보안 혹시 알아 일본 애들이 북한 해커 돈주고 해킹해달라 했을지 기회를<br>잡으려 안간힘 쓰는군,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-kr1ou5hm8t,2024-04-25T20:55:39Z,개인정보를 중국ㅇ 넘긴거 저리된건대... 피해 망상증 기사는 좀... .,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-jg5dr2eu4c,2024-04-25T12:19:09Z,"네이버가 키운 건데, 일본이 마음대로 경영권을 할 수 있냐?<br>뺏길바에는 그냥 &quot;라인(Line)&quot;을 없애버려!<br>그리고 없앤 이유를 일본에게 따지면, <br>라인을 사용하는 국가는 일본을 적으로 만들겠지.",,,
,,@mijinlee-ys4ep,2024-04-25T12:54:07Z,,@mijinlee-ys4ep,2024-04-25T12:54:07Z,라인페이 라인블로그  라인게임 라인웹툰.. 일본에선 거의 카카오 수준이라..
,,@user-jg5dr2eu4c,2024-04-25T13:01:22Z,,@user-jg5dr2eu4c,2024-04-25T13:01:22Z,"@@mijinlee-ys4ep  일본도 지분이 있다고 하겠지만, 그래도 라인이라 하면 네이버.<br>네이버가 대부분의 지분을 가지고 있을 텐데...<br>아니, 네이버가 키운 것일 텐데, 왜 서로간의 협의도 없이 일본이 마음대로 합니까?<br>그래서 뉴스영상 제목도 &quot;일본에 뺏기나?&quot; 라고 나오는 것이겠지요.<br><br>일본에서는 한국의 카카오 수준이라는 것은 이해합니다. 근데 그렇다고 해서 빼앗는다는게 말이 됩니까?"
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-fv2qd1ml2e,2024-04-25T12:41:16Z,미국이랑 일본이 자유국가 맞냐 공산당이나 독재정권에서 나올법한 생각을 하네,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@baksaham9415,2024-04-26T02:15:46Z,걍 네이버가 능력없는건데 뭘 ㅋㅋㅋ,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-ix1cn7su7u,2024-04-25T15:01:22Z,친일정부에게 뭘 바람?? 욱일기도 허용시도하다 철회 한게 여당이라고 본거 같은데?,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-wb5nz8xt6k,2024-04-25T19:54:41Z,감성팔이 하지말고 합리적으로 대응하면 된다. 뺏기는 뭐 강탈하듯이 뺏는다는 거여?<br>이딴 식으로 제목을 쓰는 기레기들이 문제,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@j.p.l5041,2024-04-25T11:42:17Z,이 뉴스를 윤서결이 사랑합니다.,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@shlakd,2024-04-25T14:57:28Z,풋 🤣정부개입?<br>윤총독인데?,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@sexmoney5399,2024-04-25T17:08:46Z,낙선자들 모아놓고 먹는거나 열일하는 윤석열이한테 기대하는 장애우는 없겠지요 ㅋ,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@mijinlee-ys4ep,2024-04-25T12:51:27Z,대응하려면 한국 점유율을 협상 가능한 수준까지 올려야 할텐데 이미 카카오톡 독점이라..,,,
,,@Silver_Bell.618,2024-04-25T12:55:05Z,,@Silver_Bell.618,2024-04-25T12:55:05Z,서버통신비도 생각하면...
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@Tx-125-qz-86,2024-04-25T15:32:41Z,석열이가 주지 않겠어?,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@Death_Knightmare,2024-04-25T15:23:57Z,윤퇘지는 좋아하는 영상이네,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@handcreamcake,2024-04-25T15:49:57Z,윤석열정권이라 저렇게 나오네... 일본은 북한과 같다더니 맞구나,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-px6hw4ee1s,2024-04-26T06:41:57Z,뺏기다니 말을 삼가해라<br>우리가 공손하게 대일본국에 바치는 것이다,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@kmkj5281,2024-04-25T13:11:36Z,네이버어떻하냐 윤석렬은 입딱닫고있을텐데,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-ug9ux1hq7o,2024-04-25T11:46:14Z,? 딱히 무슨 불법적이거나 편법으로 빼앗아가는게 아니라 정당한 절차 아님???  걍 네이버가 제대로 운영 못해서 그런 거 같은데,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-zk9tz3ep6r,2024-04-25T13:29:34Z,"넥플,유튭 전부다 그럼 정부에서 지적하고 하던가... 어이가 없노 ㅋㅋ일본 뭐지?ㅋ",,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-bh1yz4kb5x,2024-04-25T11:48:39Z,윤완용의 영도하에 일본에 넘겨질것이 뻔합니다.,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@minjotdang,2024-04-25T13:20:33Z,여기 댓글보니 아직 유니클로 감시단 있나보다,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@hoshika427,2024-04-25T11:43:01Z,소뱅도 제일교포 기업이자나 ㅋㅋㅋ,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-lv6vj2gp5p,2024-04-25T11:59:39Z,윤정부는 일본 일이니 <br>당연히 대응 안하지<br>만세 만세 외칠 것같은데,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@oopswow,2024-04-25T11:48:50Z,윤석열이 팔아먹을듯…,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-cy3bp8gs1n,2024-04-25T14:32:22Z,우리나라에 일본기업들 한테도 똑같이 해주자~ ㅋㅋ,,,
