video_title,video_view_count,author,comment_date,comment,reply_author,reply_date,reply_comment
,,@user-rk4jd7ev3g,2024-05-11T07:12:51Z,,@user-rk4jd7ev3g,2024-05-11T07:12:51Z,"라인야후 CEO가 자본 변경을 요청한다? ㅋㅋㅋ 이건 모회사에서 자회사의 대표로 임명해준 놈이 모회사의 지분 반반 갖고 있는 증조 기업들에게 니들 자본 관계 문제가 있으니, 맘에 안드는 한 놈에게 니 지분 내놔~ 라고 요구하는 격입니다. 참말로 얼척이 없죠~ 완전히 막 나가는 겁니다. 전쟁입니다. 차라리 비싼 가격에 중국 또는 미국에 매각해야 합니다!!!"
,,@user-rk4jd7ev3g,2024-05-11T07:14:10Z,,@user-rk4jd7ev3g,2024-05-11T07:14:10Z,"만약 부득이 넘겨야 한다면 중국 빅테크 업체들 끌어들여 가격 협상력 높이고, 최종 중국 업체에 넘겨야 합니다~ 뻔뻔하게 욕심 낸 놈들 된통 당하게 만들어 줘야 합니다. 국제 정세상 중국이 어렵다면 미국 빅테크에게 라도 넘겨야 합니다."
,,@SixDuck,2024-05-11T07:54:41Z,,@SixDuck,2024-05-11T07:54:41Z,@@user-jn8mm3vi9m 공부를 해서 알게된 사실입니다<br>님도 공부좀 부탁드려요
,,@SixDuck,2024-05-11T08:00:43Z,,@SixDuck,2024-05-11T08:00:43Z,다시한번말하지만<br>지금 당장은 독도가 우리가 점령한상태라 우리땅이지만<br>국제법 적용해서 재판까지 끌고가면 우리가 지는싸움이 되어버립니다<br>지는 이유가<br>일본이 주장하는 근거들이 여러가지 있는데<br>대부분은 거짓이지만 일본 교과서에 나오는 독도가 본인들 땅이라는 이유가 적혀있는거있습니다<br>실제로 존재하는 역사적인 기록에 근거하여 쓰여있는데<br>안타깝게도 그 사건 이전까지는 한국땅이였지만<br>그 사건 이후로 서류상 일본땅이 되어버렸습니다<br>그래서 국제재판 가면 무조건 패배합니다<br> 그냥 줘야해요 일본에<br>우리가 절대 곧죽어도 말로만 떠드는 이유가 있습니다<br>모르면 공부하라던분 있던데  공부하기전엔 몰랐던 사실을 공부 후 알게되었습니다 <br>믿기싫었지만 역사적 진실이 그렇게 기록되어있죠
,,@SixDuck,2024-05-11T08:07:22Z,,@SixDuck,2024-05-11T08:07:22Z,​@@chocookieland해당 밀약은 독도분쟁때문에 군사적행위를 하지 말자는 의미로 맺었습니다<br>물론 그후 정부의 군사적 행위로 사실상 폐기되어버린 밀약이 되었구요 <br>그리고 독도는 원래 한국땅이 맞았습니다<br>전쟁으로 일본이 한국을 꿀꺽삼킨이후<br>독립할때  다시 한국에게 돌려줘야하는 땅 목록에  독도가 제외되어있었구요  그래서 그때부터 기록상으로는 일본의 땅이 된겁니다 <br>이건 거짓루머가아닌 사실이구요
,,@user-er6bl6wn4x,2024-05-11T15:23:02Z,,@user-er6bl6wn4x,2024-05-11T15:23:02Z,자 2018반일운동 그후 후쿠시마 오염수로 서민들이 본피해가 있나? 그저 정권잡으려 중국에 신상팔아넘긴 견찰들과 문재인들의 조작질이지 최근 국내 바가지여행 안가고 일본여행가는 민주당지지자분들 절대로 중국은 혼자 안가죠?
,,@user-me7bb8ju2p,2024-05-12T02:36:48Z,,@user-me7bb8ju2p,2024-05-12T02:36:48Z,six 애는 제능이 6라는거임? 너 경계선인듯 ㅋㅋ
,,@SixDuck,2024-05-12T02:52:26Z,,@SixDuck,2024-05-12T02:52:26Z,@@user-me7bb8ju2p 사실을 받아들이지못하고 그저 남을 비하하기만 하려는 태도를 보아하니  배움의 수준이 매우 낮다는건 알겠습니다 모르는게 있다면 배우려 하고 다른이의 의견을 존중하는 태도를 갖추시길바랍니다
,,@SixDuck,2024-05-12T02:53:39Z,,@SixDuck,2024-05-12T02:53:39Z,@@SIBA0 역사적 기록에 의하면 한국이 먼저 독도를 소유했었습니다  그 근거로 우리는 독도가 우리땅이라고 하는거죠
,,@SIBA0,2024-05-12T03:06:12Z,,@SIBA0,2024-05-12T03:06:12Z,@@SixDuck 그 기록이란게 확실하게 독도를 말하는 기록인지 아닌지 알 수가없음.
