,Unnamed: 0,attraction,location,tag
285,2011,은평역사한옥박물관,서울 은평구,#문화시설#박물관#아이와함께가볼만한곳#유물전시관#은평구역사#은평구한옥#은평역사한옥박물관#체험학습#한옥박물관#한옥전시실
286,2012,청담나인,서울 강남구,#강남이탈리안레스토랑#루프탑#루프탑전망좋은카페#음식#이탈리안#이탈리안레스토랑#재즈#재즈바
287,2013,신강양꼬치,서울 서초구,#맛집#양꼬치#음식
288,2014,베니키아 노블 호텔,서울 종로구,#서울#서울숙소#숙박
289,2015,화니 신세계 강남점,서울 서초구,#서초맛집#식품의약품안전처_음식점위생등급_매우우수(2017년)#음식#음식점위생등급#전주비빔밥
290,2016,돈까스잔치 동빙고점,서울 용산구,#돈까스잔치동빙고점#돈잔국수#서빙고맛집#왕돈가스#왕돈가스#음식#이촌맛집
291,2017,신촌 닭한마리 유닭스토리,서울 서대문구,#닭요리#닭한마리#맛집#신촌닭맛집#신촌맛집#음식#칼국수
292,2019,꼴라주,서울 서초구,#서초맛집#스테이크#식품의약품안전처_음식점위생등급_매우우수(2017년)#음식#음식점위생등급
293,2020,카나디안 랍스터,서울 서초구,#랍스터#맛집#서울맛집#음식
294,2021,청해진,서울 동작구,#노량진맛집#노량진수산시장#맛집#매운탕#분위기_좋은#생선회#음식#회덮밥#회식장소#회정식
295,2022,한모네 순대국,서울 광진구,#맛집#음식
296,2023,마쯔야,서울 중구,#서울중구맛집#식품의약품안전처_음식점위생등급_매우우수(2017년)#음식#음식점위생등급#일본우동#초밥
297,2028,춘천집닭갈비막국수,서울 서대문구,#낙지닭갈비#맛집#원조닭갈비#음식#쟁반국수#치즈닭갈비
298,2029,또순이원조순대,서울 관악구,#관악구#관악구맛집#맛집#백순대#서울맛집추천#서울특별시#순대#순대곱창볶음#음식
299,2030,타지펠리스,서울 용산구,#맛집#음식
300,2033,우리집떡볶이,서울 중구,#맛집#음식
301,2034,비하인드(B-hind),서울 마포구,#그린_카푸치노#마포구#마포구맛집#마포구카페#맛집#샌드위치#샌드위치#아포카토_알카페#와인#음식#카페#카페라떼
302,2035,미니네,서울 중구,#맛집#음식
303,2036,파툼(FATUM),서울 종로구,#맛집#음식
304,2037,노천파전,서울 동대문구,#노천파전#맛집#석굴#음식#참알탕#한치회무침
305,2038,비타포,서울 성북구,#맛집#음식
306,2039,일미간장게장본점,서울 동대문구,#간장게장맛집#동대문간장게장#동대문구맛집#음식#일미간장게장#한춘상일미간장게장
307,2040,호텔 볼(VOLL),서울 강서구,#서울숙소#숙박
308,2041,금강제화 (강남본점),서울 강남구,#쇼핑
309,2042,홍루몽,서울 서초구,#맛집#삼선짬뽕_각종_중화요리담백한_맛#음식#찹쌀탕수육#크림중새우
310,2044,뿌자,서울 종로구,#맛집#음식
311,2045,에프호텔,서울 영등포구,#서울숙소#숙박#영등포구
312,2046,타마린드,서울 서초구,#베트남요리#서초맛집#소고기_쌀국수#식품의약품안전처_음식점위생등급_매우우수(2017년)#월남쌈#월남쌈#음식#음식점위생등급#이국적인#파스타
313,2048,중앙갈치식당,서울 중구,#맛집#음식
314,2050,홍어명가,서울 영등포구,#맛집#생선요리#서울맛집#서울홍어회#음식#해물요리
315,2051,마포유가궁중족발,서울 마포구,#맛집#서울맛집#음식#족발
316,2052,밀화,서울 서초구,#샤부샤부#서초맛집#식품의약품안전처_음식점위생등급_매우우수(2017년)#음식#음식점위생등급
317,2053,아르모니움,서울 용산구,#단호박_라비올리#레스토랑#맛집#연인과함께#음식#이베리코_스테이크#이탈리아요리#이탈리아음식#트러플_에그#한남동맛집
318,2055,초롱이고모부대찌개,서울 강동구,#강동구#맛집#부대전골#부대전골#부대찌개#음식#햄찜
319,2058,파크 하얏트 서울 코너스톤,서울 강남구,#맛집#음식
320,2059,손가네곰국수,서울 성북구,#맛집#음식
321,2060,메종 한남,서울 용산구,#메종한남#뷰맛집#음식#한강뷰레스토랑#한남동데이트#한남동스테이크
322,2062,우성갈비,서울 중구,#고기요리#껍데기#돼지갈비#돼지갈비#맛집#분위기_좋은#육류#음식
323,2066,챠크라,서울 용산구,#맛집#음식
324,2067,백마김씨네 도곡본점,서울 강남구,#도곡동숯불갈비#백마김씨네#백마김씨네 도곡본점#음식
325,2070,스카이 라운지,서울 강남구,#로씨니#맛집#비발디#서프_앤_터프#음식
326,2072,열린송현녹지광장,서울 종로구,#경복궁#관광지#광화문#녹지광장#서울가볼만한곳#송현동#아이와가볼만한곳#청와대
327,2074,누리,서울 종로구,#맛집#음식
328,2075,서일순대국,서울 동작구,#대방동순댓국#대방천사거리순댓국밥#서일순대국#수요미식회순댓국#순댓국#순댓국맛집#야채순대#음식
329,2077,알디프 티 바,서울 마포구,#서울카페#음식#티카페
330,2078,레스피레,서울 마포구,#데이트코스#슈페너#연인과함께#유럽풍#음식#카페#커피
331,2081,물빛광장,서울 영등포구,#가족나들이장소#관광지#물빛광장#분수#분수공원#한강공원#한강조망공원
332,2082,도원스타일,서울 강남구,#강남맛집#식품의약품안전처_음식점위생등급_매우우수(2017년)#음식#음식점위생등급#중식코스요리
333,2083,비비브라운,서울 강남구,#강남24시카페#강남수제샌드위치#비비브라운#음식#청담동24시카페#청담동수제샌드위치#청담동카페
334,2084,이끼롤까스 가로수길,서울 강남구,#고구마치즈돈까스#날치알치즈롤까스#돈까스#맛집#버섯치즈롤까스#음식#치킨치즈롤까스
335,2087,1940금문,서울 종로구,#1940금문#금문#대학로노포맛집#대학로자장면#맛있는녀석들시청자추천맛집#맛있는녀석들자장면#음식#혜화동자장면
336,2089,코끼리베이글,서울 영등포구,#베이글맛집#베이글맛집#서울3대베이글#양평동베이글맛집#영등포코끼리베이글#음식#코끼리베이글#코끼리베이글
337,2090,알페도,서울 용산구,#MZ세대#디저트맛집#알페도#음식#카이막#터키디저트#터키베이커리
338,2091,통일집,서울 중구,#된장찌개#맛집#서울시#음식#중구#한우
339,2092,아야진생태찌개 본점,서울 강남구,#방송맛집#봉은사역맛집#삼성동맛집#생태탕맛집#아야진생태찌개#음식
340,2098,트리아 관광호텔,서울 강남구,#강남구#관광호텔#서울숙소#숙박
341,2099,히라메키,서울 강남구,#맛집#부손#야끼교자#음식#타코와사비#토쿠센오뎅나베
342,2100,하단,서울 성북구,#만두국#만두전골#맛집#메밀냉칼국수#음식#찐만두
