Attraction,Subclass,Address,Participants
용마랜드,촬영장소,서울특별시 중랑구 망우로70길 118,16
통인가게 미술,"미술,공예품",서울특별시 종로구 인사동길 32,46
롯데월드,테마파크,서울특별시 송파구 올림픽로 240,"15,214"
세운상가,"상가,아케이드",서울특별시 종로구 청계천로 159,49
서초구민체육센터수영장,수영장,서울특별시 서초구 사평대로 55 서초구민체육센터.심산기념문화센터,11
서촌게스트하우스,게스트하우스,서울특별시 종로구 자하문로7길 28-3 통인동,37
황궁우,국가유산,서울 중구 소공동,14
필동면옥,냉,서울 중구 서애로 26,"2,253"
간송미술관,박물,서울 성북구 성북로 102-11 간송미술관,16
금강제화 영등포본점,신발,서울특별시 영등포구 영중로 18,103
동림매듭공방,박물관,서울특별시 종로구 북촌로12길 10,15
더퍼스트스테이 호텔,4급,서울특별시 강서구 마곡동로4길 23,111
도넛정수 창신,"카페,디저트",서울특별시 종로구 창신12길 40,"1,188"
티테라피,카페,서울특별시 종로구 윤보선길 74,645
SLP 어린이회관 눈썰매장,눈썰매장,서울특별시 광진구 광나루로 441,750
진옥화할매원조닭한마리,닭요리,서울특별시 종로구 종로40가길 18,"3,720"
용산역광장,근린공원,서울특별시 용산구 한강대로23길 55,79
홍난파가옥,국가유산,서울특별시 종로구 송월1길 38,12
강서구 고성막국수,막국수,서울특별시 강서구 방화대로49길 6-7,465
에프마켓남부낚시,낚시,서울 금천구 시흥대로 443,98
돌실나이 본사할인점,한복,서울특별시 종로구 혜화로 29,31
백인제가옥,"문화,유적",서울특별시 종로구 북촌로7길 16,17
롯데백화점 본점 에비뉴엘,백화점,서울특별시 중구 남대문로 73 롯데백화점에비뉴엘,683
원조홍어 본점,"해물,생선요리",서울특별시 영등포구 신길로 200-22,55
고려대학교서울캠퍼스아이스링크,아이스링크,서울특별시 성북구 안암로 145,47
메이필드호텔,5성급,서울특별시 강서구 방화대로 94,825
해방촌 혼고,"육류,고기요리",서울특별시 용산구 신흥로 89 1층 혼고,290
해밀톤 호텔,3성급,서울특별시 용산구 이태원로 179,178
국립중앙박물관 어린이박물관,박물관,서울특별시 용산구 서빙고로 137 국립중앙박물관,"1,008"
카페 할아버지공장,"카페,디저트",서울특별시 성동구 성수이로7가길 9,"2,315"
울프강스테이크하우스,"스테이크,립",서울특별시 강남구 선릉로152길 21 영인빌딩 1층,"3,550"
남도분식 익선점,분식,서울특별시 종로구 수표로28길 33,706
태극당,베이커리,서울특별시 중구 동호로24길 7,"9,707"
수도박물관,박물관,서울특별시 성동구 왕십리로 27,10
낙원떡집,"떡,한과",서울특별시 종로구 삼일대로 438,774
북악산,산,서울특별시 종로구 부암동,32
두가헌 레스토랑,이탈리아음식,서울특별시 종로구 삼청로 14,31
써미트 호텔 서울,3성급,서울특별시 중구 장충단로 198,41
RSG 성수,"카페,디저트",서울특별시 성동구 연무장15길 11 C동 110호,12
포포인츠 바이 쉐라톤 조선 서울역,4성급,서울특별시 용산구 한강대로 366 포포인츠바이쉐라톤조선 서울역,485
창경궁 홍화문,기념물,서울특별시 종로구 창경궁로 185,90
금강제화 명동본점,신발,서울특별시 중구 명동8길 30 금강제화 명동본점,96
구로공단 노동자생활체험관,전시관,서울특별시 금천구 벚꽃로44길 17 금천 순이의 집 구로공단 노동자생활체험관,12
그랜드 워커힐 서울,5성급,서울특별시 광진구 워커힐로 177 그랜드워커힐 서울,"1,001"
한국은행 화폐박물관,박물관,서울특별시 중구 남대문로 39 한국은행,13
관악산 호수공원,"도시,테마공원",서울특별시 관악구 신림동 203,27
스미스가 좋아하는 한옥,이탈리아음식,서울특별시 종로구 삼청로 22-7,702
뉘조,한정식-일반,서울특별시 종로구 인사동14길 27,145
하나로회관,한정식-일반,서울특별시 종로구 인사동5길 25 지하1층 하나로회관,223
스토리지북앤필름,독립서점,서울특별시 용산구 신흥로 115-1 1층,150
고투몰,"상가,아케이드",서울특별시 서초구 신반포로 200 고투몰,361
비스타 워커힐 서울,5성급,서울특별시 광진구 워커힐로 177 비스타 워커힐 서울,559
광운대학교 아이스링크,아이스링크,서울특별시 노원구 광운로 21,124
명동칼국수 본점,"칼국수,만두",서울 중구 명동10길 29,355
배재학당역사박물관,박물관,서울특별시 중구 서소문로11길 19 배재학당역사박물관,17
소문난성수감자탕 별관,감자탕,서울특별시 성동구 연무장7길 4 해피드림,"2,048"
마장 축산물시장,시장,서울특별시 성동구 마장로33길 53,70
서울 살곶이 다리,보물,서울특별시 성동구 성수동1가 694-124,11
진미옥설농탕,"곰탕,설렁탕",서울특별시 송파구 가락로16길 3-12 성창빌딩 1층,486
꽃새우 영번지,"해물,생선요리",서울특별시 강남구 언주로 536,106
우표박물관,박물관,서울특별시 중구 소공로 70 지하2층 우표박물관,622
길음시장,시장,서울특별시 성북구 동소문로 227,27
설화수 도산 플래그십 스토어,"화장품,향수",서울특별시 강남구 도산대로45길 18,21
방신재래시장,시장,서울특별시 강서구 방화동로16길 31,33
오목공원,근린공원,서울특별시 양천구 목동서로 159-2,38
다락원체육공원,"도시,테마공원",서울특별시 도봉구 마들로 932 평화문화진지,22
천호공원,근린공원,서울특별시 강동구 올림픽로 702 해공도서관,99
서울약령시 한의약박물관,박물관,서울특별시 동대문구 약령중앙로 26,71
서울마리나,요트,서울특별시 영등포구 여의서로 160,170
롯데시티호텔 명동,4성급,서울특별시 중구 삼일대로 362,321
아시아공원,근린공원,서울특별시 송파구 올림픽로 44,39
목3동시장,시장,서울특별시 양천구 목동중앙북로 29,77
하모니마트 명동역점,"슈퍼,마트",서울특별시 중구 명동10길 58 신일빌딩별관 지하1층,86
강남아르누보씨티호텔,4급,서울특별시 서초구 서초대로74길 49,50
가락몰,시장,서울특별시 송파구 양재대로 932 가락동 농수산물도매시장,12
63아트,아쿠아리움,서울특별시 영등포구 63로 50,252
목동종합운동장실내아이스링크,아이스링크,서울특별시 양천구 안양천로 939,637
오클라우드호텔,4급,서울특별시 서초구 사평대로58길 12,33
태릉골프장,스크린골프장,서울특별시 노원구 동일로 986 노원프레미어스엠코 지하2층,54
초안산캠핑장,"캠핑,야영장",서울특별시 노원구 마들로5가길 66-107,31
해주냉면 본점,냉면,서울특별시 송파구 백제고분로7길 8-16,"1,542"
충무로부산복집,복어요리,서울특별시 송파구 중대로27길 9-1 동호빌딩,53
평창동북악정 신관,"육류,고기요리",서울특별시 종로구 평창문화로 169,583
절두산 순교성지,"유적지,사적지",서울특별시 마포구 토정로 6,13
계림식당,닭볶음탕,서울특별시 종로구 돈화문로4길 39,"1,427"
자하손만두,만두,서울특별시 종로구 백석동길 12,"1,448"
한강공원 뚝섬 눈썰매장,눈썰매장,서울특별시 광진구 자양동 112 뚝섬 한강공원 수영장,506
키누카누,"일식,초밥뷔페","서울특별시 강서구 공항대로 247 퀸즈파크나인 b103, b104호","3,086"
청량리수산시장,시장,서울특별시 동대문구 고산자로34길 48-1 203호,15
라마다 호텔앤스위트 서울남대문,3급,서울특별시 중구 칠패로 27 라마다 호텔앤스위트 남대문,89
방이시장,시장,서울특별시 송파구 백제고분로48길 41,40
황생가칼국수,"칼국수,만두",서울특별시 종로구 북촌로5길 78,"4,157"
아모레 성수,"화장품,향수",서울특별시 성동구 아차산로11길 7 아모레성수,332
개봉중앙시장,시장,서울특별시 구로구 개봉로17길 34 중앙시장,20
부민옥,"육류,고기요리",서울특별시 중구 다동길 24-12,834
공릉동도깨비시장,시장,서울특별시 노원구 동일로180길 53,47
김가네가마솥설렁탕,소고기구이,서울특별시 강서구 방화동로 56 김가네설렁탕 1층,861
더리버사이드 호텔,3성급,서울특별시 서초구 강남대로107길 6 리버사이드호텔,138
서리풀공원,근린공원,서울특별시 서초구 서초동 1005-6,13
동작노을카페,"카페,디저트",서울특별시 동작구 동작대로 335,58
영등포전통시장,시장,서울특별시 영등포구 영등포동5가 33-29,80
비언유주얼,양식,서울특별시 강남구 선릉로108길 5 지하1층,436
대신시장,시장,서울특별시 영등포구 도신로60길 7,27
"조선 팰리스 서울 강남, 럭셔리 컬렉션 호텔",5성급,서울특별시 강남구 테헤란로 231 센터필드타워 웨스트동,444
레스케이프 호텔 (L’Escape Hotel),4성급,서울특별시 중구 퇴계로 67,609
청송옥,국밥,서울특별시 중구 서소문로11길 14,349
신문박물관,박물관,"서울특별시 종로구 세종대로 152 일민미술관건물 5층, 6층",28
신세계백화점 (본점),백화점,서울특별시 중구 소공로 63 신세계백화점본점,"1,228"
다비치안경 (명동점),안경원,서울특별시 중구 소공로 62,812
코코넛박스,"카페,디저트",서울특별시 마포구 홍익로3길 20 지하 2층,"4,428"
코트야드 메리어트 서울 남대문,4성급,서울특별시 중구 남대문로 9 코트야드 메리어트 서울 남대문 호텔,102
동방명주 충무로점,중식당,서울특별시 중구 퇴계로 186,524
프레이저 플레이스 센트럴 서울,4성급,서울특별시 중구 통일로 78 프레이저 플레이스 센트럴,178
한국전통관광명품점,전통공예,서울특별시 종로구 인사동길 9,80
망우 역사 문화공원,테마공원,서울특별시 중랑구 망우로91길 2,39
아름다운 차박물관,박물관,서울특별시 종로구 인사동길 19-11,230
수성동계곡,계곡,서울특별시 종로구 옥인동 185-3,22
남평화상가,시장,서울특별시 중구 장충단로 282-10 남평화시장,126
소선재,한식,서울특별시 종로구 삼청로 113-1 소선재,283
10꼬르소꼬모 청담점,종합패션,"서울특별시 강남구 압구정로 416 (청담동) 1층, 2층",76
춘원당한의약박물관,박물관,서울특별시 종로구 돈화문로9길 27,12
종로 떡박물관,박물관,서울특별시 종로구 돈화문로 71 인산빌딩,45
북한산둘레캠핑장,"캠핑,야영장",서울특별시 은평구 연서로 608-2,653
쭈꾸미킹2.0 상봉점,주꾸미요리,서울특별시 중랑구 송림길 13,"2,204"
