Longitude,Latitude,attraction
126.9389862,37.6548118,북한산 큰숲 제빵소
127.0156144,37.647607,리치다이아몬드호텔
126.8356082,37.5493785,송화벽화시장
127.019013,37.632781,다래함박스텍
126.9237918,37.5565115,카카오프렌즈 홍대 플래그십 스토어
126.9047714,37.5177174,아트박스 (영등포점)
127.0096778,37.5885765,뱃고동
126.9956889,37.5648899,호텔PJ
126.9416731,37.5228095,한강파라다이스
126.9289909,37.4877534,미가할매집
126.9871754,37.5723975,동서울 관광호텔
126.8909563,37.4894057,구로시장
126.9795532,37.5657665,프레지던트 호텔
126.8871499,37.5719769,난지천공원
127.0606375,37.5086368,파르나스몰
127.0807924,37.5635691,중곡제일시장
127.0516501,37.5057154,롯데호텔 L7 강남
127.0081699,37.568914,더벨스파 동대문현대시티아울렛점
126.9798606,37.5708345,신승관
126.9818065,37.5862619,서울서둘째로잘하는집
127.0321774,37.4851869,자인뭉티기
126.904349,37.4598366,비단길 현대시장
126.9859113,37.5723316,양반댁
127.0381933,37.5619152,엔터식스 왕십리역점
126.896585,37.4672099,아이유푸드
126.9752259,37.5640023,미자식당
126.8367601,37.5297805,곰달래꿈마을
126.9731737,37.572586,평안도만두집
126.9693926,37.5871066,지화자
126.9165959,37.6105424,코스모스분식
126.9846237,37.5744585,인사동그집
126.9800349,37.5662396,라칸티나
126.8760392,37.5292192,행복한백화점
127.0476325,37.5817644,호텔 더 디자이너스 청량리 Hotel the designers
127.0317011,37.6470205,동적불고기깡통구이 쌍문 본점
126.998436,37.4998654,서래본갈비
127.1139677,37.5166031,어양
126.8786284,37.5491958,나이아가라호텔
127.1026679,37.4793237,단미그린비
126.9755734,37.5697087,갯마을
126.9173126,37.5275159,그리츠(GREETS) 글래드호텔 여의도
126.911151,37.5078449,아승지
127.0016763,37.570314,광장싸롱
127.0343149,37.6499615,태림산채정식
126.8939684,37.5167783,문래근린공원
126.9963805,37.5625306,을지로 원형들
127.040101,37.639653,산도토리임자탕
127.0756623,37.6395072,향림
126.9741314,37.5727419,금용문
127.0225185,37.5714179,깃대봉냉면
127.0007294,37.5705941,순희네빈대떡
126.9137389,37.5510462,메세나폴리스 몰
126.979414,37.568083,곰국시집 명동
126.9184352,37.5214532,메리어트 이그제큐티브 아파트먼트 서울 여의도
127.1154033,37.4740956,만강 수서점
126.9228834,37.5280875,해담채 서여의도점
126.9815331,37.5872638,다락정
126.9249077,37.5292503,백원
126.7635042,37.5323398,호텔 삼정
