,Attraction,topic_type,Topic 0,Topic 1,Topic 2,Topic 3
255,이새,Topic 0,0.9294289350509644,0.02294766902923584,0.02342788316309452,0.024195479229092598
256,이순신장군동상,Topic 2,0.013694694265723228,0.4572775363922119,0.5156835913658142,0.01334418822079897
257,이촌한강공원,Topic 2,0.013071452267467976,0.01280318945646286,0.9614925980567932,0.012632719241082668
258,인왕산,Topic 3,0.020034704357385635,0.019700912758708,0.22259221971035004,0.7376721501350403
259,잠실한강공원,Topic 0,0.7281484007835388,0.0122846569865942,0.24748310446739197,0.012083834037184715
260,잠원한강공원,Topic 2,0.013728258199989796,0.013526251539587975,0.959414541721344,0.013330976478755474
261,장충단공원,Topic 2,0.01455155573785305,0.01463988609611988,0.9564735889434814,0.01433491799980402
262,전쟁과여성인권박물관,Topic 0,0.9623235464096069,0.012838931754231453,0.01255775149911642,0.012279797345399857
263,전쟁기념관,Topic 1,0.012653028592467308,0.9627060890197754,0.012482158839702606,0.012158691883087158
264,절두산 순교성지,Topic 1,0.01996632292866707,0.9400278925895691,0.020603328943252563,0.019402485340833664
265,정릉(신덕왕후),Topic 1,0.011939441785216331,0.9642875790596008,0.012240329757332802,0.011532685719430447
266,종로 떡박물관,Topic 2,0.015750469639897346,0.016050858423113823,0.9530205130577087,0.01517814863473177
267,종로구콰니,Topic 0,0.8887069225311279,0.037084564566612244,0.035989053547382355,0.038219429552555084
268,종묘,Topic 1,0.35785141587257385,0.6174134612083435,0.012536657974123955,0.012198492884635925
269,종이나라박물관,Topic 0,0.9503769278526306,0.016987282782793045,0.016672739759087563,0.015963060781359673
270,종이잡지클럽,Topic 3,0.032953839749097824,0.03278704360127449,0.033845655620098114,0.900413453578949
271,중곡제일시장,Topic 3,0.036673933267593384,0.0369424968957901,0.03586309403181076,0.890520453453064
