,Attraction,topic_type,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
152,양반댁,Topic 4,0.011221743188798428,0.011489047668874264,0.011446405202150345,0.011378356255590916,0.9544644355773926
153,미자식당,Topic 1,0.028730932623147964,0.8840777277946472,0.029179006814956665,0.029019316658377647,0.02899300493299961
154,평안도만두집,Topic 3,0.01845172792673111,0.018512999638915062,0.018532974645495415,0.6425495147705078,0.3019528090953827
155,지화자,Topic 3,0.014342622831463814,0.014639769680798054,0.014405868016183376,0.9421752691268921,0.014436518773436546
156,인사동그집,Topic 1,0.06787599623203278,0.7271619439125061,0.06815696507692337,0.06839541345834732,0.06840965151786804
157,라칸티나,Topic 2,0.040693242102861404,0.04146363213658333,0.8358495831489563,0.04131554439663887,0.0406780019402504
158,동적불고기깡통구이 쌍문 본점,Topic 1,0.02011013962328434,0.9192927479743958,0.020128877833485603,0.020178506150841713,0.02028968371450901
159,어양,Topic 1,0.014402958564460278,0.941992461681366,0.014543360099196434,0.014462284743785858,0.014598906971514225
160,서래본갈비,Topic 1,0.01845855638384819,0.926196813583374,0.01852329447865486,0.018390629440546036,0.018430734053254128
161,단미그린비,Topic 2,0.022365044802427292,0.022642839699983597,0.9089971780776978,0.022846700623631477,0.023148203268647194
162,갯마을,Topic 2,0.01838468387722969,0.018345659598708153,0.9258506894111633,0.018877243623137474,0.0185417290776968
163,그리츠 레스토랑,Topic 2,0.018311578780412674,0.018720751628279686,0.5787966847419739,0.018699247390031815,0.3654717206954956
164,아승지,Topic 2,0.025232337415218353,0.41333717107772827,0.5102940797805786,0.02564040757715702,0.02549600601196289
165,광장싸롱 1961,Topic 0,0.9180288910865784,0.020364999771118164,0.020548008382320404,0.020617295056581497,0.020440805703401566
166,태림산채정식,Topic 1,0.022653775289654732,0.908412516117096,0.023505596444010735,0.02268374152481556,0.022744309157133102
167,을지로 원형들,Topic 1,0.01575676165521145,0.4876825511455536,0.4652725160121918,0.015535593032836914,0.01575254648923874
168,산도토리임자탕,Topic 1,0.015462498180568218,0.9376611709594727,0.01579166017472744,0.015589293092489243,0.015495313331484795
169,향림,Topic 3,0.0,0.0,0.0,0.9649127721786499,0.0
170,금용문,Topic 1,0.0,0.9646549820899963,0.0,0.0,0.0
171,깃대봉냉면,Topic 3,0.04111422598361969,0.04123077169060707,0.04089972749352455,0.8359208106994629,0.040834419429302216
172,순희네빈대떡,Topic 3,0.0253609512001276,0.025764435529708862,0.025931743904948235,0.8974628448486328,0.025480028241872787
173,곰국시집 명동,Topic 1,0.06787597388029099,0.7271558046340942,0.06815366446971893,0.06841596961021423,0.06839857995510101
174,만강 수서점,Topic 4,0.03395045921206474,0.03444314002990723,0.034302350133657455,0.03482942655682564,0.8624746203422546
175,해담채 서여의도점,Topic 1,0.025433074682950974,0.8973631262779236,0.025416182354092598,0.02526903711259365,0.026518594473600388
176,다락정,Topic 2,0.020314477384090424,0.020504498854279518,0.9180942177772522,0.02059444785118103,0.02049238048493862
177,백원,Topic 1,0.04043613374233246,0.8371749520301819,0.041051458567380905,0.04080555588006973,0.04053189978003502
178,아리차이,Topic 1,0.0253997053951025,0.8980225920677185,0.02589499205350876,0.025444764643907547,0.025237957015633583
179,익선동 그집,Topic 1,0.025380009785294533,0.8982834219932556,0.025371773168444633,0.025600453838706017,0.025364309549331665
180,먹고을전주콩나물국밥 묵동본점,Topic 1,0.1023067757487297,0.5890137553215027,0.10270821303129196,0.10295891761779785,0.1030123308300972
181,명품기사식당뚝다리김치찌개,Topic 4,0.016764922067523003,0.0169046763330698,0.01701095513999462,0.01690356247127056,0.9324159026145935
182,요리하는남자,Topic 1,0.0,0.9251697063446045,0.04940425232052803,0.0,0.0
183,성수족발,Topic 1,0.025643380358815193,0.8973963260650635,0.025708813220262527,0.025466635823249817,0.02578483521938324
184,키미아트,Topic 1,0.02988239750266075,0.8827846050262451,0.029114147648215294,0.02887151762843132,0.029347335919737816
185,문배동 육칼,Topic 1,0.40500277280807495,0.551592230796814,0.014464552514255047,0.014445616863667965,0.014494880102574825
186,청담골,Topic 3,0.011875510215759277,0.011936819180846214,0.01192269753664732,0.9523714780807495,0.01189347356557846
187,몽실이네 토종한우,Topic 0,0.9373375177383423,0.01576772890985012,0.015590616501867771,0.015628710389137268,0.015675485134124756
188,미진,Topic 2,0.014489015564322472,0.014590837992727757,0.9418811798095703,0.01453425083309412,0.014504684135317802
189,동심한정식,Topic 2,0.02239246852695942,0.022715875878930092,0.9085217118263245,0.023083120584487915,0.02328682690858841
190,남원추어탕 풍천장어,Topic 1,0.025215713307261467,0.8983115553855896,0.0256423968821764,0.025532618165016174,0.025297734886407852
191,산삼청각,Topic 3,0.012743181549012661,0.012905261479318142,0.012651700526475906,0.9488696455955505,0.012830161489546299
192,테르트르카페,Topic 4,0.011298946104943752,0.011420647613704205,0.011348526924848557,0.011181945912539959,0.9547498822212219
193,최수사 대게마을,Topic 1,0.022707397118210793,0.9083455204963684,0.023316092789173126,0.022952955216169357,0.022678043693304062
194,정식당,Topic 2,0.020370274782180786,0.020690051838755608,0.9183669090270996,0.020319992676377296,0.020252805203199387
195,인사동큰집,Topic 4,0.0336698479950428,0.034062422811985016,0.034066587686538696,0.03412491828203201,0.8640761971473694
196,옥류헌릴렉스,Topic 1,0.01691480353474617,0.9323552846908569,0.016737088561058044,0.016707653179764748,0.017285186797380447
197,위대한밥상 영광,Topic 3,0.025220733135938644,0.025487495586276054,0.025860438123345375,0.8979871869087219,0.02544412948191166
198,부일갈비,Topic 1,0.010775825008749962,0.9569341540336609,0.010765484534204006,0.010750318877398968,0.010774161666631699
